"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_unique_id,identifier,,text,study_unique_id,,,,,,,,,,,,,
study,identifier,,text,study,,,,,,,,,,,,,
center,identifier,,text,center,,,,,,,,,,,,,
subject_id,identifier,,text,subject_id,,,,,,,,,,,,,
unique_id,identifier,,text,unique_id,,,,,,,,,,,,,
site_id_01_02,pre_screening,,text,site_id,,,,,,,,,,,,,
birth_number_01_02,pre_screening,,text,birth_number,,,,,,,,,,,,,
screen_comment_01_02,pre_screening,,text,screen_comment,,,,,,,,,,,,,
core_temp_less32p5c_greater_eq2hr_e_01_02,pre_screening,,yesno,core_temp_less32p5c_greater_eq2hr_e,,,,,,,,,,,,,
core_temp_less33p5c_greater1hr_e_01_02,pre_screening,,yesno,core_temp_less33p5c_greater1hr_e,,,,,,,,,,,,,
core_temp_less34c_greater1hr_e_01_02,pre_screening,,yesno,core_temp_less34c_greater1hr_e,,,,,,,,,,,,,
first6hr_cool_by_clinical_protocol_e_01_02,pre_screening,,yesno,first6hr_cool_by_clinical_protocol_e,,,,,,,,,,,,,
chromosomal_abnormality_e_01_02,pre_screening,,yesno,chromosomal_abnormality_e,,,,,,,,,,,,,
major_congenital_anomaly_e_01_02,pre_screening,,yesno,major_congenital_anomaly_e,,,,,,,,,,,,,
birth_weight_less_eq1800g_e_01_02,pre_screening,,yesno,birth_weight_less_eq1800g_e,,,,,,,,,,,,,
infant_unlikely_survive_e_01_02,pre_screening,,yesno,infant_unlikely_survive_e,,,,,,,,,,,,,
first60min_all_blood_gas_ph_greater7p15base_deficit_less10meqperl_e_01_02,pre_screening,,yesno,first60min_all_blood_gas_ph_greater7p15base_deficit_less10meqperl_e,,,,,,,,,,,,,
postnatal_age_less6hr_or_greater24hr_e_01_02,pre_screening,,yesno,postnatal_age_less6hr_or_greater24hr_e,,,,,,,,,,,,,
enrolled_conflicting_trial_e_01_02,pre_screening,,yesno,enrolled_conflicting_trial_e,,,,,,,,,,,,,
first60min_any_blood_gas_ph_less_eq7_i_01_02,pre_screening,,yesno,first60min_any_blood_gas_ph_less_eq7_i,,,,,,,,,,,,,
first60min_any_blood_gas_base_deficit_greater_eq16meqperl_i_01_02,pre_screening,,yesno,first60min_any_blood_gas_base_deficit_greater_eq16meqperl_i,,,,,,,,,,,,,
history_perinatal_event_i_01_02,pre_screening,,yesno,history_perinatal_event_i,,,,,,,,,,,,,
at10min_apgar_less_eq5_or_vent_i_01_02,pre_screening,,yesno,at10min_apgar_less_eq5_or_vent_i,,,,,,,,,,,,,
random_eligible_01_02,pre_screening,,yesno,random_eligible,,,,,,,,,,,,,
consent_status_01_02,pre_screening,,radio,consent_status,"1, not eligible | 2, consent granted | 3, parent refused consent | 4, physician refused | 5, consent not requested",consentStatus,,,,,,,,,,,
no_consent_reason_01_02,pre_screening,,text,no_consent_reason,,,,,,,,,,,,,
no_in_study_reason_01_02,pre_screening,,text,no_in_study_reason,,,,,,,,,,,,,
random_01_02,pre_screening,,yesno,random,,,,,,,,,,,,,
no_random_reason_01_02,pre_screening,,text,no_random_reason,,,,,,,,,,,,,
no_random_reason_text_01_02,pre_screening,,text,no_random_reason_text,,,,,,,,,,,,,
random_date_01_02,pre_screening,,text,random_date,,,,,,,,,,,,,
random_time_01_02,pre_screening,,text,random_time,,,,,,,,,,,,,
age_rand_hr_01_02,pre_screening,,text,age_rand_hr,,,,,,,,,,,,,
random_number_01_02,pre_screening,,text,random_number,,,,,,,,,,,,,
random_treatment_assign_01_02,pre_screening,,radio,random_treatment_assign,"1, hypothermia | 2, control | 3, 72 hrs and 33.5C | 4, 72 hrs and 32.0C | 5, 120 hrs and 33.5C | 6, 120 hrs and 32.0C",treatmentAssign,,,,,,,,,,,
random_treatment_receive_01_02,pre_screening,,yesno,random_treatment_receive,,,,,,,,,,,,,
treatment_blanket_type_01_02,pre_screening,,radio,treatment_blanket_type,"1, blanketrol II | 2, blanketrol III",blanketType,,,,,,,,,,,
treatment_assignment_duration_hr_01_02,pre_screening,,text,treatment_assignment_duration_hr,,,,,,,,,,,,,
treatment_assignment_temperature_01_02,pre_screening,,text,treatment_assignment_temperature,,,,,,,,,,,,,
usual_cooling_treatment_group_01_02,pre_screening,,yesno,usual_cooling_treatment_group,,,,,,,,,,,,,
in_other_trial_01_02,pre_screening,,yesno,in_other_trial,,,,,,,,,,,,,
in_other_trial_text_01_02,pre_screening,,text,in_other_trial_text,,,,,,,,,,,,,
birth_date_01_02,pre_screening,,text,birth_date,,,,,,,,,,,,,
mother_age_year_01_03,pre_maternal_demographics,,text,mother_age_year,,,,,,,,,,,,,
mother_race_01_03,pre_maternal_demographics,,radio,mother_race,"1, black | 2, white | 3, american indian or alaska native | 4, asian | 5, native hawaiian or pacific islander | 6, more than one race | 7, unknown or not reported",race,,,,,,,,,,,
mother_race_other1_01_03,pre_maternal_demographics,,radio,mother_race_other1,"1, black | 2, white | 3, american indian or alaska native | 4, asian | 5, native hawaiian or pacific islander | 6, more than one race | 7, unknown or not reported",race,,,,,,,,,,,
mother_race_other2_01_03,pre_maternal_demographics,,radio,mother_race_other2,"1, black | 2, white | 3, american indian or alaska native | 4, asian | 5, native hawaiian or pacific islander | 6, more than one race | 7, unknown or not reported",race,,,,,,,,,,,
mother_race_other3_01_03,pre_maternal_demographics,,radio,mother_race_other3,"1, black | 2, white | 3, american indian or alaska native | 4, asian | 5, native hawaiian or pacific islander | 6, more than one race | 7, unknown or not reported",race,,,,,,,,,,,
mother_race_other4_01_03,pre_maternal_demographics,,radio,mother_race_other4,"1, black | 2, white | 3, american indian or alaska native | 4, asian | 5, native hawaiian or pacific islander | 6, more than one race | 7, unknown or not reported",race,,,,,,,,,,,
mother_race_other5_01_03,pre_maternal_demographics,,radio,mother_race_other5,"1, black | 2, white | 3, american indian or alaska native | 4, asian | 5, native hawaiian or pacific islander | 6, more than one race | 7, unknown or not reported",race,,,,,,,,,,,
mother_race_other6_01_03,pre_maternal_demographics,,radio,mother_race_other6,"1, black | 2, white | 3, american indian or alaska native | 4, asian | 5, native hawaiian or pacific islander | 6, more than one race | 7, unknown or not reported",race,,,,,,,,,,,
