"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
maternal_admission_date_01_05,pre_labor_and_delivery,,text,maternal_admission_date,,,,,,,,,,,,,
maternal_admission_time_01_05,pre_labor_and_delivery,,text,maternal_admission_time,,,,,,,,,,,,,
rupture_date_01_05,pre_labor_and_delivery,,text,rupture_date,,,,,,,,,,,,,
rupture_time_01_05,pre_labor_and_delivery,,text,rupture_time,,,,,,,,,,,,,
rupture_over18hr_01_05,pre_labor_and_delivery,,yesno,rupture_over18hr,,,,,,,,,,,,,
rupture_before_delivery_01_05,pre_labor_and_delivery,,yesno,rupture_before_delivery,,,,,,,,,,,,,
labor_01_05,pre_labor_and_delivery,,yesno,labor,,,,,,,,,,,,,
labor_onset_date_01_05,pre_labor_and_delivery,,text,labor_onset_date,,,,,,,,,,,,,
labor_onset_time_01_05,pre_labor_and_delivery,,text,labor_onset_time,,,,,,,,,,,,,
delivery_mode_01_05,pre_labor_and_delivery,,radio,delivery_mode,"1, virginal vertex, unassisted | 2, virginal vertex, assisted | 3, virginal breech | 4, virginal NOS | 5, non-emergent cesarean | 6, emergent cesarean | 7, unknown",deliveryMode,,,,,,,,,,,
fetal_decelerate_01_05,pre_labor_and_delivery,,yesno,fetal_decelerate,,,,,,,,,,,,,
cord_mishap_01_05,pre_labor_and_delivery,,yesno,cord_mishap,,,,,,,,,,,,,
uterine_rupture_01_05,pre_labor_and_delivery,,yesno,uterine_rupture,,,,,,,,,,,,,
shoulder_dystocia_01_05,pre_labor_and_delivery,,yesno,shoulder_dystocia,,,,,,,,,,,,,
placental_problem_01_05,pre_labor_and_delivery,,yesno,placental_problem,,,,,,,,,,,,,
maternal_hemorrhage_01_05,pre_labor_and_delivery,,yesno,maternal_hemorrhage,,,,,,,,,,,,,
maternal_trauma_01_05,pre_labor_and_delivery,,yesno,maternal_trauma,,,,,,,,,,,,,
maternal_cardio_respiratory_arrest_01_05,pre_labor_and_delivery,,yesno,maternal_cardio_respiratory_arrest,,,,,,,,,,,,,
maternal_seizure_01_05,pre_labor_and_delivery,,yesno,maternal_seizure,,,,,,,,,,,,,
pyrexia_over37p6c_01_05,pre_labor_and_delivery,,yesno,pyrexia_over37p6c,,,,,,,,,,,,,
chorioamnionitis_01_05,pre_labor_and_delivery,,yesno,chorioamnionitis,,,,,,,,,,,,,
placental_pathology_performed_01_05,pre_labor_and_delivery,,yesno,placental_pathology_performed,,,,,,,,,,,,,
histologic_chorioamionitis_01_05,pre_labor_and_delivery,,yesno,histologic_chorioamionitis,,,,,,,,,,,,,
labor_antibiotics_01_05,pre_labor_and_delivery,,yesno,labor_antibiotics,,,,,,,,,,,,,
labor_antibiotics_code1_01_05,pre_labor_and_delivery,,dropdown,labor_antibiotics_code1,"1, Ampicillin | 2, Carbenicillin | 3, Oxacillin | 4, Penicillin G | 5, Piperacillin | 6, Ticarcillin | 7, Mexlocillin | 8, Methicillin | 9, Nafcillin | 10, Cephalothin | 11, Cefazolin (Kefzol) | 12, Cefotaxime (Claforan) | 13, Cefoxitin | 14, Moxalactam | 15, Ceftazadime (Fortaz) | 16, Ceftriaxone (Rocephin) | 17, Ceftizoxime | 18, Cefuroxime | 19, Cefotetan | 20, Amikacin | 21, Gentamicin | 22, Kanamycin | 23, Tobramycin | 24, Amphotericin B | 25, Flucytosine (5FC) | 26, Vancomycin | 27, Vidarabine | 28, Bactrim | 29, Chloramphenicol (Chloromycetin) | 30, Oral Nystatin | 31, Clindamycin | 32, Erythromycin (IV) | 33, Fluconazole | 34, Imipenem | 35, Metronidazole | 36, Aztreonam | 37, Acyclovir | 38, Ganciclovir | 39, Ribavirin (Aerosol) | 40, Zidovuldine (AZT) | 41, Other",antibiotics,,,,,,,,,,,
labor_antibiotics_code2_01_05,pre_labor_and_delivery,,dropdown,labor_antibiotics_code2,"1, Ampicillin | 2, Carbenicillin | 3, Oxacillin | 4, Penicillin G | 5, Piperacillin | 6, Ticarcillin | 7, Mexlocillin | 8, Methicillin | 9, Nafcillin | 10, Cephalothin | 11, Cefazolin (Kefzol) | 12, Cefotaxime (Claforan) | 13, Cefoxitin | 14, Moxalactam | 15, Ceftazadime (Fortaz) | 16, Ceftriaxone (Rocephin) | 17, Ceftizoxime | 18, Cefuroxime | 19, Cefotetan | 20, Amikacin | 21, Gentamicin | 22, Kanamycin | 23, Tobramycin | 24, Amphotericin B | 25, Flucytosine (5FC) | 26, Vancomycin | 27, Vidarabine | 28, Bactrim | 29, Chloramphenicol (Chloromycetin) | 30, Oral Nystatin | 31, Clindamycin | 32, Erythromycin (IV) | 33, Fluconazole | 34, Imipenem | 35, Metronidazole | 36, Aztreonam | 37, Acyclovir | 38, Ganciclovir | 39, Ribavirin (Aerosol) | 40, Zidovuldine (AZT) | 41, Other",antibiotics,,,,,,,,,,,
