"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
encephalopathy_level_01_06,pre_birth_information,,radio,encephalopathy_level,"1, moderate | 2, severe",encephalopathyLevel,,,,,,,,,,,
random_infant_age_01_06,pre_birth_information,,radio,random_infant_age,"1, ≤ 12 hrs | 2, > 12 hrs",infantAge,,,,,,,,,,,
birth_weight_g_01_06,pre_birth_information,,text,birth_weight_g,,,,,,,,,,,,,
birth_length_cm_01_06,pre_birth_information,,text,birth_length_cm,,,,,,,,,,,,,
birth_head_circumference_cm_01_06,pre_birth_information,,text,birth_head_circumference_cm,,,,,,,,,,,,,
birth_gestational_age_week_01_06,pre_birth_information,,text,birth_gestational_age_week,,,,,,,,,,,,,
infant_sex_01_06,pre_birth_information,,radio,infant_sex,"1, male | 2, female | 3, ambiguous",infantSex,,,,,,,,,,,
infant_outborn_01_06,pre_birth_information,,yesno,infant_outborn,,,,,,,,,,,,,
outborn_in_hospital_01_06,pre_birth_information,,yesno,outborn_in_hospital,,,,,,,,,,,,,
outborn_out_hospital_01_06,pre_birth_information,,yesno,outborn_out_hospital,,,,,,,,,,,,,
neonate_admission_date_01_06,pre_birth_information,,text,neonate_admission_date,,,,,,,,,,,,,
neonate_admission_time_01_06,pre_birth_information,,text,neonate_admission_time,,,,,,,,,,,,,
apgar1min_01_06,pre_birth_information,,text,apgar1min,,,,,,,,,,,,,
apgar5min_01_06,pre_birth_information,,text,apgar5min,,,,,,,,,,,,,
apgar10min_01_06,pre_birth_information,,text,apgar10min,,,,,,,,,,,,,
apgar15min_01_06,pre_birth_information,,text,apgar15min,,,,,,,,,,,,,
apgar20min_01_06,pre_birth_information,,text,apgar20min,,,,,,,,,,,,,
delivery_resuscitation_01_06,pre_birth_information,,yesno,delivery_resuscitation,,,,,,,,,,,,,
delivery_oxygen_01_06,pre_birth_information,,yesno,delivery_oxygen,,,,,,,,,,,,,
delivery_bagging_and_mask_01_06,pre_birth_information,,yesno,delivery_bagging_and_mask,,,,,,,,,,,,,
delivery_chest_compression_01_06,pre_birth_information,,yesno,delivery_chest_compression,,,,,,,,,,,,,
delivery_intubation_01_06,pre_birth_information,,yesno,delivery_intubation,,,,,,,,,,,,,
delivery_drug_01_06,pre_birth_information,,yesno,delivery_drug,,,,,,,,,,,,,
at10min_continue_resuscitation_01_06,pre_birth_information,,yesno,at10min_continue_resuscitation,,,,,,,,,,,,,
at10min_oxygen_01_06,pre_birth_information,,yesno,at10min_oxygen,,,,,,,,,,,,,
at10min_bagging_and_mask_01_06,pre_birth_information,,yesno,at10min_bagging_and_mask,,,,,,,,,,,,,
at10min_chest_compression_01_06,pre_birth_information,,yesno,at10min_chest_compression,,,,,,,,,,,,,
at10min_intubation_01_06,pre_birth_information,,yesno,at10min_intubation,,,,,,,,,,,,,
at10min_drug_01_06,pre_birth_information,,yesno,at10min_drug,,,,,,,,,,,,,
spontaneous_respiration_time_01_06,pre_birth_information,,radio,spontaneous_respiration_time,"1, < 5 mins | 2, 5 - 10 mins | 3, 10 mins - 1 hr | 4, 1 - 4 hrs | 5, > 4 hrs",spontaneousRespirationTime,,,,,,,,,,,
cord_blood_gas_01_06,pre_birth_information,,yesno,cord_blood_gas,,,,,,,,,,,,,
cord_blood_gas_src_01_06,pre_birth_information,,radio,cord_blood_gas_src,"1, arterial | 2, venous | 3, mixed",cordBloodGasSrc,,,,,,,,,,,
cord_blood_gas_ph_01_06,pre_birth_information,,text,cord_blood_gas_ph,,,,,,,,,,,,,
cord_blood_gas_pco2mmhg_01_06,pre_birth_information,,text,cord_blood_gas_pco2mmhg,,,,,,,,,,,,,
cord_blood_gas_po2mmhg_01_06,pre_birth_information,,text,cord_blood_gas_po2mmhg,,,,,,,,,,,,,
cord_blood_gas_hco3meqperl_01_06,pre_birth_information,,text,cord_blood_gas_hco3meqperl,,,,,,,,,,,,,
cord_blood_gas_base_deficit_meqperl_01_06,pre_birth_information,,text,cord_blood_gas_base_deficit_meqperl,,,,,,,,,,,,,
first_postnatal_blood_gas_01_06,pre_birth_information,,yesno,first_postnatal_blood_gas,,,,,,,,,,,,,
first_postnatal_blood_gas_src_01_06,pre_birth_information,,radio,first_postnatal_blood_gas_src,"1, arterial | 2, venous | 3, capillary",bloodGasSrc,,,,,,,,,,,
first_postnatal_blood_gas_date_01_06,pre_birth_information,,text,first_postnatal_blood_gas_date,,,,,,,,,,,,,
first_postnatal_blood_gas_time_01_06,pre_birth_information,,text,first_postnatal_blood_gas_time,,,,,,,,,,,,,
first_postnatal_blood_gas_ph_01_06,pre_birth_information,,text,first_postnatal_blood_gas_ph,,,,,,,,,,,,,
first_postnatal_blood_gas_pco2mmhg_01_06,pre_birth_information,,text,first_postnatal_blood_gas_pco2mmhg,,,,,,,,,,,,,
first_postnatal_blood_gas_po2mmhg_01_06,pre_birth_information,,text,first_postnatal_blood_gas_po2mmhg,,,,,,,,,,,,,
first_postnatal_blood_gas_hco3meqperl_01_06,pre_birth_information,,text,first_postnatal_blood_gas_hco3meqperl,,,,,,,,,,,,,
first_postnatal_blood_gas_base_deficit_meqperl_01_06,pre_birth_information,,text,first_postnatal_blood_gas_base_deficit_meqperl,,,,,,,,,,,,,
birth_date_01_06,pre_birth_information,,text,birth_date,,,,,,,,,,,,,
birth_time_01_06,pre_birth_information,,text,birth_time,,,,,,,,,,,,,
