"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
target_treatment_temperature_c_01_07,pre_temperature,,radio,target_treatment_temperature_c,"1, 33.5C | 2, 32.0C",targetTreatmentTemperature,,,,,,,,,,,
pre_cool_initiate_01_07,pre_temperature,,yesno,pre_cool_initiate,,,,,,,,,,,,,
pre_coolby_ice_gel_pack_01_07,pre_temperature,,yesno,pre_coolby_ice_gel_pack,,,,,,,,,,,,,
pre_cool_passively_01_07,pre_temperature,,yesno,pre_cool_passively,,,,,,,,,,,,,
pre_cool_clinically_01_07,pre_temperature,,yesno,pre_cool_clinically,,,,,,,,,,,,,
pre_cool_initiate_date_01_07,pre_temperature,,text,pre_cool_initiate_date,,,,,,,,,,,,,
pre_cool_initiate_time_01_07,pre_temperature,,text,pre_cool_initiate_time,,,,,,,,,,,,,
pre_after_overshoot_reach33p5c_01_07,pre_temperature,,yesno,pre_after_overshoot_reach33p5c,,,,,,,,,,,,,
pre_after_overshoot_reach33p5c_date_01_07,pre_temperature,,text,pre_after_overshoot_reach33p5c_date,,,,,,,,,,,,,
pre_after_overshoot_reach33p5c_time_01_07,pre_temperature,,text,pre_after_overshoot_reach33p5c_time,,,,,,,,,,,,,
pre_temperature_min_date_01_07,pre_temperature,,text,pre_temperature_min_date,,,,,,,,,,,,,
pre_temperature_min_time_01_07,pre_temperature,,text,pre_temperature_min_time,,,,,,,,,,,,,
pre_skin_temperature_min_c_01_07,pre_temperature,,text,pre_skin_temperature_min_c,,,,,,,,,,,,,
pre_axillary_temperature_min_c_01_07,pre_temperature,,text,pre_axillary_temperature_min_c,,,,,,,,,,,,,
pre_esophageal_temperature_min_c_01_07,pre_temperature,,text,pre_esophageal_temperature_min_c,,,,,,,,,,,,,
pre_servo_set_min_c_01_07,pre_temperature,,text,pre_servo_set_min_c,,,,,,,,,,,,,
pre_temperature_max_date_01_07,pre_temperature,,text,pre_temperature_max_date,,,,,,,,,,,,,
pre_temperature_max_time_01_07,pre_temperature,,text,pre_temperature_max_time,,,,,,,,,,,,,
pre_skin_temperature_max_c_01_07,pre_temperature,,text,pre_skin_temperature_max_c,,,,,,,,,,,,,
pre_axillary_temperature_max_c_01_07,pre_temperature,,text,pre_axillary_temperature_max_c,,,,,,,,,,,,,
pre_esophageal_temperature_max_c_01_07,pre_temperature,,text,pre_esophageal_temperature_max_c,,,,,,,,,,,,,
pre_servo_set_max_c_01_07,pre_temperature,,text,pre_servo_set_max_c,,,,,,,,,,,,,
