"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pre_other_med_target_date_01_10,pre_other_medicine,,text,pre_other_med_target_date,,,,,,,,,,,,,
pre_other_med_target_time_01_10,pre_other_medicine,,text,pre_other_med_target_time,,,,,,,,,,,,,
pre_anticonvulsants_01_10,pre_other_medicine,,radio,pre_anticonvulsants,"1, Topiramate (Topamax) | 2, Phenobarbital | 3, Lorazepam (Ativan) | 4, Phenytoin (Dilantin) | 5, Paraldehyde | 6, Levetiracetam (Keppra) | 7, Pyridoxine (Vitamin B6) | 8, Bumetanide (Bumex) | 9, Pentobarbital | 10, Other",anticonvulsants,,,,,,,,,,,
pre_anticonvulsants1_01_10,pre_other_medicine,,radio,pre_anticonvulsants1,"1, Topiramate (Topamax) | 2, Phenobarbital | 3, Lorazepam (Ativan) | 4, Phenytoin (Dilantin) | 5, Paraldehyde | 6, Levetiracetam (Keppra) | 7, Pyridoxine (Vitamin B6) | 8, Bumetanide (Bumex) | 9, Pentobarbital | 10, Other",anticonvulsants,,,,,,,,,,,
pre_anticonvulsants2_01_10,pre_other_medicine,,radio,pre_anticonvulsants2,"1, Topiramate (Topamax) | 2, Phenobarbital | 3, Lorazepam (Ativan) | 4, Phenytoin (Dilantin) | 5, Paraldehyde | 6, Levetiracetam (Keppra) | 7, Pyridoxine (Vitamin B6) | 8, Bumetanide (Bumex) | 9, Pentobarbital | 10, Other",anticonvulsants,,,,,,,,,,,
pre_anticonvulsants3_01_10,pre_other_medicine,,radio,pre_anticonvulsants3,"1, Topiramate (Topamax) | 2, Phenobarbital | 3, Lorazepam (Ativan) | 4, Phenytoin (Dilantin) | 5, Paraldehyde | 6, Levetiracetam (Keppra) | 7, Pyridoxine (Vitamin B6) | 8, Bumetanide (Bumex) | 9, Pentobarbital | 10, Other",anticonvulsants,,,,,,,,,,,
pre_analgesics_01_10,pre_other_medicine,,radio,pre_analgesics,"1, Morphine | 2, Chloral hydrate | 3, Fentanyl | 4, Midazolam (Versed) | 5, Phenobarbital | 6, Other | 7, Ativan",analgesics,,,,,,,,,,,
pre_analgesics_sedatives1_01_10,pre_other_medicine,,radio,pre_analgesics_sedatives1,"1, Morphine | 2, Chloral hydrate | 3, Fentanyl | 4, Midazolam (Versed) | 5, Phenobarbital | 6, Other | 7, Ativan",analgesics,,,,,,,,,,,
pre_analgesics_sedatives2_01_10,pre_other_medicine,,radio,pre_analgesics_sedatives2,"1, Morphine | 2, Chloral hydrate | 3, Fentanyl | 4, Midazolam (Versed) | 5, Phenobarbital | 6, Other | 7, Ativan",analgesics,,,,,,,,,,,
pre_analgesics_sedatives3_01_10,pre_other_medicine,,radio,pre_analgesics_sedatives3,"1, Morphine | 2, Chloral hydrate | 3, Fentanyl | 4, Midazolam (Versed) | 5, Phenobarbital | 6, Other | 7, Ativan",analgesics,,,,,,,,,,,
pre_antipyretics_01_10,pre_other_medicine,,radio,pre_antipyretics,"1, Acetaminophen | 2, Ibuprofen",antipyretics,,,,,,,,,,,
pre_antipyretics1_01_10,pre_other_medicine,,radio,pre_antipyretics1,"1, Acetaminophen | 2, Ibuprofen",antipyretics,,,,,,,,,,,
pre_antipyretics2_01_10,pre_other_medicine,,radio,pre_antipyretics2,"1, Acetaminophen | 2, Ibuprofen",antipyretics,,,,,,,,,,,
pre_antipyretics3_01_10,pre_other_medicine,,radio,pre_antipyretics3,"1, Acetaminophen | 2, Ibuprofen",antipyretics,,,,,,,,,,,
pre_paralytics_01_10,pre_other_medicine,,radio,pre_paralytics,"1, Pancuronium | 2, Vecuronium | 3, Other",paralytics,,,,,,,,,,,
pre_paralytics1_01_10,pre_other_medicine,,radio,pre_paralytics1,"1, Pancuronium | 2, Vecuronium | 3, Other",paralytics,,,,,,,,,,,
pre_paralytics2_01_10,pre_other_medicine,,radio,pre_paralytics2,"1, Pancuronium | 2, Vecuronium | 3, Other",paralytics,,,,,,,,,,,
pre_paralytics3_01_10,pre_other_medicine,,radio,pre_paralytics3,"1, Pancuronium | 2, Vecuronium | 3, Other",paralytics,,,,,,,,,,,
pre_other_med_fluid_intake_cc_per_kg_01_10,pre_other_medicine,,text,pre_other_med_fluid_intake_cc_per_kg,,,,,,,,,,,,,
pre_other_med_urine_output_cc_per_kg_01_10,pre_other_medicine,,text,pre_other_med_urine_output_cc_per_kg,,,,,,,,,,,,,
