"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pre_head_sonogram_01_11,pre_imaging_report,,yesno,pre_head_sonogram,,,,,,,,,,,,,
pre_head_sonogram_date_01_11,pre_imaging_report,,text,pre_head_sonogram_date,,,,,,,,,,,,,
pre_head_sonogram_time_01_11,pre_imaging_report,,text,pre_head_sonogram_time,,,,,,,,,,,,,
pre_head_sonogram_result1_01_11,pre_imaging_report,,radio,pre_head_sonogram_result1,"1, normal | 2, increased cerebral echogenicity/density | 3, increased thalamic/basal ganglia echogenicity/density | 4, germinal matrix hemorrhage | 5, intraventricular hemorrhage | 6, posterior fossa hemorrhage | 7, intraparenchymal hemorrhage | 8, subarachnoid hemorrhage | 9, subdural hemorrhage | 10, calcifications | 11, loss of gray/white matter differentiation | 12, ventriculomegaly | 13, porencephaly | 14, PVL | 15, abnormal cerebral signal intensity; focal | 16, abnormal cerebral signal intensity; diffuse | 17, abnormal signal intensity; gray matter | 18, abnormal signal intensity; white matter | 19, abnormal basal ganglia/thalamic signal intensity | 20, abnormal cerebeliar signal intensity | 21, abnormal brainstem signal intensity | 22, infarction | 23, cerebral atrophy | 24, saggital sinus thrombosis | 25, congenital malformation | 26, other | 27, edema",imaging,,,,,,,,,,,
pre_head_sonogram_result_text_01_11,pre_imaging_report,,text,pre_head_sonogram_result_text,,,,,,,,,,,,,
pre_head_ct_01_11,pre_imaging_report,,yesno,pre_head_ct,,,,,,,,,,,,,
pre_head_ct_date_01_11,pre_imaging_report,,text,pre_head_ct_date,,,,,,,,,,,,,
pre_head_ct_time_01_11,pre_imaging_report,,text,pre_head_ct_time,,,,,,,,,,,,,
pre_head_ct_result1_01_11,pre_imaging_report,,radio,pre_head_ct_result1,"1, normal | 2, increased cerebral echogenicity/density | 3, increased thalamic/basal ganglia echogenicity/density | 4, germinal matrix hemorrhage | 5, intraventricular hemorrhage | 6, posterior fossa hemorrhage | 7, intraparenchymal hemorrhage | 8, subarachnoid hemorrhage | 9, subdural hemorrhage | 10, calcifications | 11, loss of gray/white matter differentiation | 12, ventriculomegaly | 13, porencephaly | 14, PVL | 15, abnormal cerebral signal intensity; focal | 16, abnormal cerebral signal intensity; diffuse | 17, abnormal signal intensity; gray matter | 18, abnormal signal intensity; white matter | 19, abnormal basal ganglia/thalamic signal intensity | 20, abnormal cerebeliar signal intensity | 21, abnormal brainstem signal intensity | 22, infarction | 23, cerebral atrophy | 24, saggital sinus thrombosis | 25, congenital malformation | 26, other | 27, edema",imaging,,,,,,,,,,,
pre_head_ct_result_text_01_11,pre_imaging_report,,text,pre_head_ct_result_text,,,,,,,,,,,,,
pre_brain_mri_01_11,pre_imaging_report,,yesno,pre_brain_mri,,,,,,,,,,,,,
pre_brain_mri_date_01_11,pre_imaging_report,,text,pre_brain_mri_date,,,,,,,,,,,,,
pre_brain_mri_time_01_11,pre_imaging_report,,text,pre_brain_mri_time,,,,,,,,,,,,,
pre_brain_mri_result1_01_11,pre_imaging_report,,radio,pre_brain_mri_result1,"1, normal | 2, increased cerebral echogenicity/density | 3, increased thalamic/basal ganglia echogenicity/density | 4, germinal matrix hemorrhage | 5, intraventricular hemorrhage | 6, posterior fossa hemorrhage | 7, intraparenchymal hemorrhage | 8, subarachnoid hemorrhage | 9, subdural hemorrhage | 10, calcifications | 11, loss of gray/white matter differentiation | 12, ventriculomegaly | 13, porencephaly | 14, PVL | 15, abnormal cerebral signal intensity; focal | 16, abnormal cerebral signal intensity; diffuse | 17, abnormal signal intensity; gray matter | 18, abnormal signal intensity; white matter | 19, abnormal basal ganglia/thalamic signal intensity | 20, abnormal cerebeliar signal intensity | 21, abnormal brainstem signal intensity | 22, infarction | 23, cerebral atrophy | 24, saggital sinus thrombosis | 25, congenital malformation | 26, other | 27, edema",imaging,,,,,,,,,,,
pre_brain_mri_result_text_01_11,pre_imaging_report,,text,pre_brain_mri_result_text,,,,,,,,,,,,,
