"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pre_neuro_exam_01_12,pre_neuro_exam,,yesno,pre_neuro_exam,,,,,,,,,,,,,
pre_no_neuro_exam_reason_01_12,pre_neuro_exam,,radio,pre_no_neuro_exam_reason,"1, missed | 2, certified neuro examiner not available | 3, infant paralyzed",noNeuroExamReason,,,,,,,,,,,
pre_neuro_exam_sign_moderate_severe_hie3category_01_12,pre_neuro_exam,,yesno,pre_neuro_exam_sign_moderate_severe_hie3category,,,,,,,,,,,,,
pre_neuro_exam_level_consciousness_01_12,pre_neuro_exam,,radio,pre_neuro_exam_level_consciousness,"1, normal/mild HIE | 2, lethargic | 3, stupor/coma",signOfHIELvlOfCons,,,,,,,,,,,
pre_neuro_exam_spontaneous_activity_01_12,pre_neuro_exam,,radio,pre_neuro_exam_spontaneous_activity,"1, normal/mild HIE | 2, decreased activity | 3, no activity",signOfHIESpontaneousActivity,,,,,,,,,,,
pre_neuro_exam_posture_01_12,pre_neuro_exam,,radio,pre_neuro_exam_posture,"1, normal/mild HIE | 2, distal flexion, complete extension | 3, decerebrate",signOfHIEPosture,,,,,,,,,,,
pre_neuro_exam_tone_01_12,pre_neuro_exam,,radio,pre_neuro_exam_tone,"1, normal/mild HIE | 2, hypertonia | 3, hypotonia | 4, flaccid | 5, rigid",signOfHIETone,,,,,,,,,,,
pre_neuro_exam_suck_01_12,pre_neuro_exam,,radio,pre_neuro_exam_suck,"1, normal/mild HIE | 2, weak | 3, absent",signOfHIESuck,,,,,,,,,,,
pre_neuro_exam_moro_01_12,pre_neuro_exam,,radio,pre_neuro_exam_moro,"1, normal/mild HIE | 2, incopmlete | 3, absent",signOfHIEMoro,,,,,,,,,,,
pre_neuro_exam_pupils_01_12,pre_neuro_exam,,radio,pre_neuro_exam_pupils,"1, normal/mild HIE | 2, constricted | 3, deviation",signOfHIEPupils,,,,,,,,,,,
pre_neuro_exam_heart_rate_01_12,pre_neuro_exam,,radio,pre_neuro_exam_heart_rate,"1, normal/mild HIE | 2, bradycardia | 3, variable HR",signOfHIEHeartRate,,,,,,,,,,,
pre_neuro_exam_respiration_01_12,pre_neuro_exam,,radio,pre_neuro_exam_respiration,"1, normal/mild HIE | 2, periodic breathing | 3, apnea | 4, on vent with spontaneous breaths | 5, on vent without spontaneous breaths",signOfHIERespiratory,,,,,,,,,,,
pre_neuro_exam_date_01_12,pre_neuro_exam,,text,pre_neuro_exam_date,,,,,,,,,,,,,
pre_neuro_exam_time_01_12,pre_neuro_exam,,text,pre_neuro_exam_time,,,,,,,,,,,,,
pre_neuro_exam_sedate_01_12,pre_neuro_exam,,yesno,pre_neuro_exam_sedate,,,,,,,,,,,,,
pre_neuro_exam_seizure_01_12,pre_neuro_exam,,yesno,pre_neuro_exam_seizure,,,,,,,,,,,,,
pre_neuro_exam_level_consciousness_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_level_consciousness_score,,,,,,,,,,,,,
pre_neuro_exam_spontaneous_activity_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_spontaneous_activity_score,,,,,,,,,,,,,
pre_neuro_exam_posture_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_posture_score,,,,,,,,,,,,,
pre_neuro_exam_tone_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_tone_score,,,,,,,,,,,,,
pre_neuro_exam_suck_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_suck_score,,,,,,,,,,,,,
pre_neuro_exam_moro_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_moro_score,,,,,,,,,,,,,
pre_neuro_exam_pupils_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_pupils_score,,,,,,,,,,,,,
pre_neuro_exam_heart_rate_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_heart_rate_score,,,,,,,,,,,,,
pre_neuro_exam_respiration_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_respiration_score,,,,,,,,,,,,,
pre_neuro_exam_reflex_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_reflex_score,,,,,,,,,,,,,
pre_neuro_exam_ans_score_01_12_1,pre_neuro_exam,,text,pre_neuro_exam_ans_score,,,,,,,,,,,,,
pre_total_modified_sarnat_score_01_12_1,pre_neuro_exam,,text,pre_total_modified_sarnat_score,,,,,,,,,,,,,
