"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
blood_gas_time_slot_min_02_04,blood_gas_respiratory,,text,blood_gas_time_slot_min,,,,,,,,,,,,,
blood_gas_date_02_04,blood_gas_respiratory,,text,blood_gas_date,,,,,,,,,,,,,
blood_gas_time_02_04,blood_gas_respiratory,,text,blood_gas_time,,,,,,,,,,,,,
blood_gas_src_02_04,blood_gas_respiratory,,radio,blood_gas_src,"1, arterial | 2, venous | 3, capillary",bloodGasSrc,,,,,,,,,,,
blood_gas_ph_02_04,blood_gas_respiratory,,text,blood_gas_ph,,,,,,,,,,,,,
blood_gas_pco2_mmhg_02_04,blood_gas_respiratory,,text,blood_gas_pco2_mmhg,,,,,,,,,,,,,
blood_gas_po2_mmhg_02_04,blood_gas_respiratory,,text,blood_gas_po2_mmhg,,,,,,,,,,,,,
blood_gas_hco3_meqperl_02_04,blood_gas_respiratory,,text,blood_gas_hco3_meqperl,,,,,,,,,,,,,
blood_gas_base_deficit_meqperl_02_04,blood_gas_respiratory,,text,blood_gas_base_deficit_meqperl,,,,,,,,,,,,,
blood_gas_ph_correct_02_04,blood_gas_respiratory,,text,blood_gas_ph_correct,,,,,,,,,,,,,
blood_gas_pco2correct_mmhg_02_04,blood_gas_respiratory,,text,blood_gas_pco2correct_mmhg,,,,,,,,,,,,,
blood_gas_po2correct_mmhg_02_04,blood_gas_respiratory,,text,blood_gas_po2correct_mmhg,,,,,,,,,,,,,
blood_gas_hco3correct_meqperl_02_04,blood_gas_respiratory,,text,blood_gas_hco3correct_meqperl,,,,,,,,,,,,,
blood_gas_base_deficit_correct_meqperl_02_04,blood_gas_respiratory,,text,blood_gas_base_deficit_correct_meqperl,,,,,,,,,,,,,
