"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
blood_value_bun_baseline_mgperdl_02_06_s,blood_value_other_summary,,text,blood_value_bun_baseline_mgperdl,,,,,,,,,,,,,
blood_value_bun_baseline_mgperdl_date_02_06_s,blood_value_other_summary,,text,blood_value_bun_baseline_mgperdl_date,,,,,,,,,,,,,
blood_value_creatinine_baseline_mgperdl_02_06_s,blood_value_other_summary,,text,blood_value_creatinine_baseline_mgperdl,,,,,,,,,,,,,
blood_value_creatinine_baseline_mgperdl_date_02_06_s,blood_value_other_summary,,text,blood_value_creatinine_baseline_mgperdl_date,,,,,,,,,,,,,
blood_value_ast_sgot_baseline_uperl_02_06_s,blood_value_other_summary,,text,blood_value_ast_sgot_baseline_uperl,,,,,,,,,,,,,
blood_value_ast_sgot_baseline_uperl_date_02_06_s,blood_value_other_summary,,text,blood_value_ast_sgot_baseline_uperl_date,,,,,,,,,,,,,
blood_value_alt_sgpt_baseline_uperl_02_06_s,blood_value_other_summary,,text,blood_value_alt_sgpt_baseline_uperl,,,,,,,,,,,,,
blood_value_alt_sgpt_baseline_uperl_date_02_06_s,blood_value_other_summary,,text,blood_value_alt_sgpt_baseline_uperl_date,,,,,,,,,,,,,
blood_value_total_bilirubin_baseline_mgperdl_02_06_s,blood_value_other_summary,,text,blood_value_total_bilirubin_baseline_mgperdl,,,,,,,,,,,,,
blood_value_total_bilirubin_baseline_mgperdl_date_02_06_s,blood_value_other_summary,,text,blood_value_total_bilirubin_baseline_mgperdl_date,,,,,,,,,,,,,
blood_value_ph_min_02_06_s,blood_value_other_summary,,text,blood_value_ph_min,,,,,,,,,,,,,
blood_value_ph_min_date_02_06_s,blood_value_other_summary,,text,blood_value_ph_min_date,,,,,,,,,,,,,
