"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
other_med_time_slot_min_02_08,other_medicine,,text,other_med_time_slot_min,,,,,,,,,,,,,
other_med_target_date_02_08,other_medicine,,text,other_med_target_date,,,,,,,,,,,,,
other_med_target_time_02_08,other_medicine,,text,other_med_target_time,,,,,,,,,,,,,
anticonvulsants_02_08,other_medicine,,radio,anticonvulsants,"1, Topiramate (Topamax) | 2, Phenobarbital | 3, Lorazepam (Ativan) | 4, Phenytoin (Dilantin) | 5, Paraldehyde | 6, Levetiracetam (Keppra) | 7, Pyridoxine (Vitamin B6) | 8, Bumetanide (Bumex) | 9, Pentobarbital | 10, Other",anticonvulsants,,,,,,,,,,,
anticonvulsants1_02_08,other_medicine,,radio,anticonvulsants1,"1, Topiramate (Topamax) | 2, Phenobarbital | 3, Lorazepam (Ativan) | 4, Phenytoin (Dilantin) | 5, Paraldehyde | 6, Levetiracetam (Keppra) | 7, Pyridoxine (Vitamin B6) | 8, Bumetanide (Bumex) | 9, Pentobarbital | 10, Other",anticonvulsants,,,,,,,,,,,
anticonvulsants2_02_08,other_medicine,,radio,anticonvulsants2,"1, Topiramate (Topamax) | 2, Phenobarbital | 3, Lorazepam (Ativan) | 4, Phenytoin (Dilantin) | 5, Paraldehyde | 6, Levetiracetam (Keppra) | 7, Pyridoxine (Vitamin B6) | 8, Bumetanide (Bumex) | 9, Pentobarbital | 10, Other",anticonvulsants,,,,,,,,,,,
anticonvulsants3_02_08,other_medicine,,radio,anticonvulsants3,"1, Topiramate (Topamax) | 2, Phenobarbital | 3, Lorazepam (Ativan) | 4, Phenytoin (Dilantin) | 5, Paraldehyde | 6, Levetiracetam (Keppra) | 7, Pyridoxine (Vitamin B6) | 8, Bumetanide (Bumex) | 9, Pentobarbital | 10, Other",anticonvulsants,,,,,,,,,,,
analgesics_sedatives_02_08,other_medicine,,radio,analgesics_sedatives,"1, Morphine | 2, Chloral hydrate | 3, Fentanyl | 4, Midazolam (Versed) | 5, Phenobarbital | 6, Other | 7, Ativan",analgesics,,,,,,,,,,,
analgesics_sedatives1_02_08,other_medicine,,radio,analgesics_sedatives1,"1, Morphine | 2, Chloral hydrate | 3, Fentanyl | 4, Midazolam (Versed) | 5, Phenobarbital | 6, Other | 7, Ativan",analgesics,,,,,,,,,,,
analgesics_sedatives2_02_08,other_medicine,,radio,analgesics_sedatives2,"1, Morphine | 2, Chloral hydrate | 3, Fentanyl | 4, Midazolam (Versed) | 5, Phenobarbital | 6, Other | 7, Ativan",analgesics,,,,,,,,,,,
analgesics_sedatives3_02_08,other_medicine,,radio,analgesics_sedatives3,"1, Morphine | 2, Chloral hydrate | 3, Fentanyl | 4, Midazolam (Versed) | 5, Phenobarbital | 6, Other | 7, Ativan",analgesics,,,,,,,,,,,
antipyretics_02_08,other_medicine,,radio,antipyretics,"1, Acetaminophen | 2, Ibuprofen",antipyretics,,,,,,,,,,,
antipyretics1_02_08,other_medicine,,radio,antipyretics1,"1, Acetaminophen | 2, Ibuprofen",antipyretics,,,,,,,,,,,
antipyretics2_02_08,other_medicine,,radio,antipyretics2,"1, Acetaminophen | 2, Ibuprofen",antipyretics,,,,,,,,,,,
antipyretics3_02_08,other_medicine,,radio,antipyretics3,"1, Acetaminophen | 2, Ibuprofen",antipyretics,,,,,,,,,,,
paralytics_02_08,other_medicine,,radio,paralytics,"1, Pancuronium | 2, Vecuronium | 3, Other",paralytics,,,,,,,,,,,
paralytics1_02_08,other_medicine,,radio,paralytics1,"1, Pancuronium | 2, Vecuronium | 3, Other",paralytics,,,,,,,,,,,
paralytics2_02_08,other_medicine,,radio,paralytics2,"1, Pancuronium | 2, Vecuronium | 3, Other",paralytics,,,,,,,,,,,
paralytics3_02_08,other_medicine,,radio,paralytics3,"1, Pancuronium | 2, Vecuronium | 3, Other",paralytics,,,,,,,,,,,
other_med_fluid_intake_cc_per_kg_02_08,other_medicine,,text,other_med_fluid_intake_cc_per_kg,,,,,,,,,,,,,
other_med_urine_output_cc_per_kg_02_08,other_medicine,,text,other_med_urine_output_cc_per_kg,,,,,,,,,,,,,
