"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
elevated_temp_number_02_11,elevated_temperature,,text,elevated_temp_number,,,,,,,,,,,,,
elevated_temp_min_02_11,elevated_temperature,,text,elevated_temp_min,,,,,,,,,,,,,
elevated_temp_date_02_11,elevated_temperature,,text,elevated_temp_date,,,,,,,,,,,,,
elevated_temp_time_02_11,elevated_temperature,,text,elevated_temp_time,,,,,,,,,,,,,
elevated_temp_skin_temperature_c_02_11,elevated_temperature,,text,elevated_temp_skin_temperature_c,,,,,,,,,,,,,
elevated_temp_axillary_temperature_c_02_11,elevated_temperature,,text,elevated_temp_axillary_temperature_c,,,,,,,,,,,,,
elevated_temp_esophageal_temperature_c_02_11,elevated_temperature,,text,elevated_temp_esophageal_temperature_c,,,,,,,,,,,,,
elevated_temp_servo_set_c_02_11,elevated_temperature,,text,elevated_temp_servo_set_c,,,,,,,,,,,,,
elevated_temp_device_02_11,elevated_temperature,,radio,elevated_temp_device,"1, radiant warmer | 2, incubator | 3, crib",elevatedTempDevice,,,,,,,,,,,
elevated_temp_device_mode_02_11,elevated_temperature,,radio,elevated_temp_device_mode,"1, servo control | 2, air manual control | 3, none",elevatedTempDeviceMode,,,,,,,,,,,
elevated_temp_air_temperature_c_02_11,elevated_temperature,,text,elevated_temp_air_temperature_c,,,,,,,,,,,,,
elevated_temp_bath_02_11,elevated_temperature,,yesno,elevated_temp_bath,,,,,,,,,,,,,
elevated_temp_no_bath_reason_02_11,elevated_temperature,,radio,elevated_temp_no_bath_reason,"1, medical procedure | 2, criteria not met | 3, not done",elevatedTempNoBathReason,,,,,,,,,,,
elevated_temp_blanketrol_02_11,elevated_temperature,,yesno,elevated_temp_blanketrol,,,,,,,,,,,,,
