"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
adverse_event_number_02_14,adverse_event,,text,adverse_event_number,,,,,,,,,,,,,
sae_cardiac_experience_onset_date_02_14,adverse_event,,text,sae_cardiac_experience_onset_date,,,,,,,,,,,,,
sae_cardiac_experience_onset_time_02_14,adverse_event,,text,sae_cardiac_experience_onset_time,,,,,,,,,,,,,
sae_cardiac_experience_resolve_date_02_14,adverse_event,,text,sae_cardiac_experience_resolve_date,,,,,,,,,,,,,
sae_cardiac_experience_resolve_time_02_14,adverse_event,,text,sae_cardiac_experience_resolve_time,,,,,,,,,,,,,
sae_cardiac_experience_due_to_hypothermia_02_14,adverse_event,,radio,sae_cardiac_experience_due_to_hypothermia,"1, false | 2, not likely | 3, possibly | 4, probably",SAEAttributable,,,,,,,,,,,
sae_cardiac_experience_action_taken_02_14,adverse_event,,radio,sae_cardiac_experience_action_taken,"1, no change | 2, hypothermia discontinued",SAEAction,,,,,,,,,,,
sae_cardiac_experience_outcome_02_14,adverse_event,,radio,sae_cardiac_experience_outcome,"1, completely resolved | 2, resolved with sequelae | 3, patient died | 4, not resolved",SAEOutcome,,,,,,,,,,,
sae_cardiac_experience_comment_02_14,adverse_event,,text,sae_cardiac_experience_comment,,,,,,,,,,,,,
sae_metabolic_acidosis_onset_date_02_14,adverse_event,,text,sae_metabolic_acidosis_onset_date,,,,,,,,,,,,,
sae_metabolic_acidosis_onset_time_02_14,adverse_event,,text,sae_metabolic_acidosis_onset_time,,,,,,,,,,,,,
sae_metabolic_acidosis_resolve_date_02_14,adverse_event,,text,sae_metabolic_acidosis_resolve_date,,,,,,,,,,,,,
sae_metabolic_acidosis_resolve_time_02_14,adverse_event,,text,sae_metabolic_acidosis_resolve_time,,,,,,,,,,,,,
sae_metabolic_acidosis_due_to_hypothermia_02_14,adverse_event,,radio,sae_metabolic_acidosis_due_to_hypothermia,"1, false | 2, not likely | 3, possibly | 4, probably",SAEAttributable,,,,,,,,,,,
sae_metabolic_acidosis_action_taken_02_14,adverse_event,,radio,sae_metabolic_acidosis_action_taken,"1, no change | 2, hypothermia discontinued",SAEAction,,,,,,,,,,,
sae_metabolic_acidosis_outcome_02_14,adverse_event,,radio,sae_metabolic_acidosis_outcome,"1, completely resolved | 2, resolved with sequelae | 3, patient died | 4, not resolved",SAEOutcome,,,,,,,,,,,
sae_metabolic_acidosis_comment_02_14,adverse_event,,text,sae_metabolic_acidosis_comment,,,,,,,,,,,,,
sae_thrombosis_experience_onset_date_02_14,adverse_event,,text,sae_thrombosis_experience_onset_date,,,,,,,,,,,,,
sae_thrombosis_experience_onset_time_02_14,adverse_event,,text,sae_thrombosis_experience_onset_time,,,,,,,,,,,,,
sae_thrombosis_experience_resolve_date_02_14,adverse_event,,text,sae_thrombosis_experience_resolve_date,,,,,,,,,,,,,
sae_thrombosis_experience_resolve_time_02_14,adverse_event,,text,sae_thrombosis_experience_resolve_time,,,,,,,,,,,,,
sae_thrombosis_experience_due_to_hypothermia_02_14,adverse_event,,radio,sae_thrombosis_experience_due_to_hypothermia,"1, false | 2, not likely | 3, possibly | 4, probably",SAEAttributable,,,,,,,,,,,
sae_thrombosis_experience_action_taken_02_14,adverse_event,,radio,sae_thrombosis_experience_action_taken,"1, no change | 2, hypothermia discontinued",SAEAction,,,,,,,,,,,
sae_thrombosis_experience_outcome_02_14,adverse_event,,radio,sae_thrombosis_experience_outcome,"1, completely resolved | 2, resolved with sequelae | 3, patient died | 4, not resolved",SAEOutcome,,,,,,,,,,,
sae_thrombosis_experience_comment_02_14,adverse_event,,text,sae_thrombosis_experience_comment,,,,,,,,,,,,,
sae_bleeding_experience_onset_date_02_14,adverse_event,,text,sae_bleeding_experience_onset_date,,,,,,,,,,,,,
sae_bleeding_experience_onset_time_02_14,adverse_event,,text,sae_bleeding_experience_onset_time,,,,,,,,,,,,,
sae_bleeding_experience_resolve_date_02_14,adverse_event,,text,sae_bleeding_experience_resolve_date,,,,,,,,,,,,,
sae_bleeding_experience_resolve_time_02_14,adverse_event,,text,sae_bleeding_experience_resolve_time,,,,,,,,,,,,,
sae_bleeding_experience_due_to_hypothermia_02_14,adverse_event,,radio,sae_bleeding_experience_due_to_hypothermia,"1, false | 2, not likely | 3, possibly | 4, probably",SAEAttributable,,,,,,,,,,,
sae_bleeding_experience_action_taken_02_14,adverse_event,,radio,sae_bleeding_experience_action_taken,"1, no change | 2, hypothermia discontinued",SAEAction,,,,,,,,,,,
sae_bleeding_experience_outcome_02_14,adverse_event,,radio,sae_bleeding_experience_outcome,"1, completely resolved | 2, resolved with sequelae | 3, patient died | 4, not resolved",SAEOutcome,,,,,,,,,,,
sae_bleeding_experience_comment_02_14,adverse_event,,text,sae_bleeding_experience_comment,,,,,,,,,,,,,
sae_alteration_skin_integrity_02_14,adverse_event,,radio,sae_alteration_skin_integrity,"1, false | 2, erythema | 3, sclerema | 4, cyanosis | 5, subcutaneous fat necrosis | 6, true",SAEAlterationSkinIntegrity,,,,,,,,,,,
sae_alteration_skin_integrity_onset_date_02_14,adverse_event,,text,sae_alteration_skin_integrity_onset_date,,,,,,,,,,,,,
sae_alteration_skin_integrity_resolve_date_02_14,adverse_event,,text,sae_alteration_skin_integrity_resolve_date,,,,,,,,,,,,,
sae_alteration_skin_integrity_due_to_hypothermia_02_14,adverse_event,,radio,sae_alteration_skin_integrity_due_to_hypothermia,"1, false | 2, not likely | 3, possibly | 4, probably",SAEAttributable,,,,,,,,,,,
sae_alteration_skin_integrity_action_taken_02_14,adverse_event,,radio,sae_alteration_skin_integrity_action_taken,"1, no change | 2, hypothermia discontinued",SAEAction,,,,,,,,,,,
sae_alteration_skin_integrity_outcome_02_14,adverse_event,,radio,sae_alteration_skin_integrity_outcome,"1, completely resolved | 2, resolved with sequelae | 3, patient died | 4, not resolved",SAEOutcome,,,,,,,,,,,
sae_alteration_skin_integrity_comment_02_14,adverse_event,,text,sae_alteration_skin_integrity_comment,,,,,,,,,,,,,
sae_death_date_02_14,adverse_event,,text,sae_death_date,,,,,,,,,,,,,
sae_death_time_02_14,adverse_event,,text,sae_death_time,,,,,,,,,,,,,
sae_death_due_to_hypothermia_02_14,adverse_event,,radio,sae_death_due_to_hypothermia,"1, false | 2, not likely | 3, possibly | 4, probably",SAEAttributable,,,,,,,,,,,
sae_death_action_taken_02_14,adverse_event,,radio,sae_death_action_taken,"1, no change | 2, hypothermia discontinued",SAEAction,,,,,,,,,,,
sae_death_outcome_02_14,adverse_event,,radio,sae_death_outcome,"1, completely resolved | 2, resolved with sequelae | 3, patient died | 4, not resolved",SAEOutcome,,,,,,,,,,,
sae_death_comment_02_14,adverse_event,,text,sae_death_comment,,,,,,,,,,,,,
sae_other_02_14,adverse_event,,text,sae_other,,,,,,,,,,,,,
sae_other_onset_date_02_14,adverse_event,,text,sae_other_onset_date,,,,,,,,,,,,,
sae_other_onset_time_02_14,adverse_event,,text,sae_other_onset_time,,,,,,,,,,,,,
sae_other_resolve_date_02_14,adverse_event,,text,sae_other_resolve_date,,,,,,,,,,,,,
sae_other_resolve_time_02_14,adverse_event,,text,sae_other_resolve_time,,,,,,,,,,,,,
sae_other_due_to_hypothermia_02_14,adverse_event,,radio,sae_other_due_to_hypothermia,"1, false | 2, not likely | 3, possibly | 4, probably",SAEAttributable,,,,,,,,,,,
sae_other_action_taken_02_14,adverse_event,,radio,sae_other_action_taken,"1, no change | 2, hypothermia discontinued",SAEAction,,,,,,,,,,,
sae_other_outcome_02_14,adverse_event,,radio,sae_other_outcome,"1, completely resolved | 2, resolved with sequelae | 3, patient died | 4, not resolved",SAEOutcome,,,,,,,,,,,
sae_other_comment_02_14,adverse_event,,text,sae_other_comment,,,,,,,,,,,,,
