"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
post_head_sonogram_03_03,post_imaging_report,,yesno,post_head_sonogram,,,,,,,,,,,,,
post_head_sonogram_date_03_03,post_imaging_report,,text,post_head_sonogram_date,,,,,,,,,,,,,
post_head_sonogram_time_03_03,post_imaging_report,,text,post_head_sonogram_time,,,,,,,,,,,,,
post_head_sonogram_result1_03_03,post_imaging_report,,radio,post_head_sonogram_result1,"1, normal | 2, increased cerebral echogenicity/density | 3, increased thalamic/basal ganglia echogenicity/density | 4, germinal matrix hemorrhage | 5, intraventricular hemorrhage | 6, posterior fossa hemorrhage | 7, intraparenchymal hemorrhage | 8, subarachnoid hemorrhage | 9, subdural hemorrhage | 10, calcifications | 11, loss of gray/white matter differentiation | 12, ventriculomegaly | 13, porencephaly | 14, PVL | 15, abnormal cerebral signal intensity; focal | 16, abnormal cerebral signal intensity; diffuse | 17, abnormal signal intensity; gray matter | 18, abnormal signal intensity; white matter | 19, abnormal basal ganglia/thalamic signal intensity | 20, abnormal cerebeliar signal intensity | 21, abnormal brainstem signal intensity | 22, infarction | 23, cerebral atrophy | 24, saggital sinus thrombosis | 25, congenital malformation | 26, other | 27, edema",imaging,,,,,,,,,,,
post_head_sonogram_result_text_03_03,post_imaging_report,,text,post_head_sonogram_result_text,,,,,,,,,,,,,
post_head_ct_03_03,post_imaging_report,,yesno,post_head_ct,,,,,,,,,,,,,
post_head_ct_date_03_03,post_imaging_report,,text,post_head_ct_date,,,,,,,,,,,,,
post_head_ct_time_03_03,post_imaging_report,,text,post_head_ct_time,,,,,,,,,,,,,
post_head_ct_result1_03_03,post_imaging_report,,radio,post_head_ct_result1,"1, normal | 2, increased cerebral echogenicity/density | 3, increased thalamic/basal ganglia echogenicity/density | 4, germinal matrix hemorrhage | 5, intraventricular hemorrhage | 6, posterior fossa hemorrhage | 7, intraparenchymal hemorrhage | 8, subarachnoid hemorrhage | 9, subdural hemorrhage | 10, calcifications | 11, loss of gray/white matter differentiation | 12, ventriculomegaly | 13, porencephaly | 14, PVL | 15, abnormal cerebral signal intensity; focal | 16, abnormal cerebral signal intensity; diffuse | 17, abnormal signal intensity; gray matter | 18, abnormal signal intensity; white matter | 19, abnormal basal ganglia/thalamic signal intensity | 20, abnormal cerebeliar signal intensity | 21, abnormal brainstem signal intensity | 22, infarction | 23, cerebral atrophy | 24, saggital sinus thrombosis | 25, congenital malformation | 26, other | 27, edema",imaging,,,,,,,,,,,
post_head_ct_result_text_03_03,post_imaging_report,,text,post_head_ct_result_text,,,,,,,,,,,,,
post_brain_mri_03_03,post_imaging_report,,yesno,post_brain_mri,,,,,,,,,,,,,
post_brain_mri_date_03_03,post_imaging_report,,text,post_brain_mri_date,,,,,,,,,,,,,
post_brain_mri_time_03_03,post_imaging_report,,text,post_brain_mri_time,,,,,,,,,,,,,
post_brain_mri_result1_03_03,post_imaging_report,,radio,post_brain_mri_result1,"1, normal | 2, increased cerebral echogenicity/density | 3, increased thalamic/basal ganglia echogenicity/density | 4, germinal matrix hemorrhage | 5, intraventricular hemorrhage | 6, posterior fossa hemorrhage | 7, intraparenchymal hemorrhage | 8, subarachnoid hemorrhage | 9, subdural hemorrhage | 10, calcifications | 11, loss of gray/white matter differentiation | 12, ventriculomegaly | 13, porencephaly | 14, PVL | 15, abnormal cerebral signal intensity; focal | 16, abnormal cerebral signal intensity; diffuse | 17, abnormal signal intensity; gray matter | 18, abnormal signal intensity; white matter | 19, abnormal basal ganglia/thalamic signal intensity | 20, abnormal cerebeliar signal intensity | 21, abnormal brainstem signal intensity | 22, infarction | 23, cerebral atrophy | 24, saggital sinus thrombosis | 25, congenital malformation | 26, other | 27, edema",imaging,,,,,,,,,,,
post_brain_mri_result_text_03_03,post_imaging_report,,text,post_brain_mri_result_text,,,,,,,,,,,,,
