"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
post_neuro_exam_date_03_04,post_neuro_exam,,text,post_neuro_exam_date,,,,,,,,,,,,,
post_neuro_exam_time_03_04,post_neuro_exam,,text,post_neuro_exam_time,,,,,,,,,,,,,
post_neuro_exam_level_consciousness_03_04,post_neuro_exam,,radio,post_neuro_exam_level_consciousness,"1, normal/mild HIE | 2, lethargic | 3, stupor/coma",signOfHIELvlOfCons,,,,,,,,,,,
post_neuro_exam_spontaneous_activity_03_04,post_neuro_exam,,radio,post_neuro_exam_spontaneous_activity,"1, normal/mild HIE | 2, decreased activity | 3, no activity",signOfHIESpontaneousActivity,,,,,,,,,,,
post_neuro_exam_posture_03_04,post_neuro_exam,,radio,post_neuro_exam_posture,"1, normal/mild HIE | 2, distal flexion, complete extension | 3, decerebrate",signOfHIEPosture,,,,,,,,,,,
post_neuro_exam_tone_03_04,post_neuro_exam,,radio,post_neuro_exam_tone,"1, normal/mild HIE | 2, hypertonia | 3, hypotonia | 4, flaccid | 5, rigid",signOfHIETone,,,,,,,,,,,
post_neuro_exam_suck_03_04,post_neuro_exam,,radio,post_neuro_exam_suck,"1, normal/mild HIE | 2, weak | 3, absent",signOfHIESuck,,,,,,,,,,,
post_neuro_exam_moro_03_04,post_neuro_exam,,radio,post_neuro_exam_moro,"1, normal/mild HIE | 2, incopmlete | 3, absent",signOfHIEMoro,,,,,,,,,,,
post_neuro_exam_pupils_03_04,post_neuro_exam,,radio,post_neuro_exam_pupils,"1, normal/mild HIE | 2, constricted | 3, deviation",signOfHIEPupils,,,,,,,,,,,
post_neuro_exam_heart_rate_03_04,post_neuro_exam,,radio,post_neuro_exam_heart_rate,"1, normal/mild HIE | 2, bradycardia | 3, variable HR",signOfHIEHeartRate,,,,,,,,,,,
post_neuro_exam_respiration_03_04,post_neuro_exam,,radio,post_neuro_exam_respiration,"1, normal/mild HIE | 2, periodic breathing | 3, apnea | 4, on vent with spontaneous breaths | 5, on vent without spontaneous breaths",signOfHIERespiratory,,,,,,,,,,,
post_neuro_exam_seizure_03_04,post_neuro_exam,,yesno,post_neuro_exam_seizure,,,,,,,,,,,,,
post_neuro_exam_sedate_03_04,post_neuro_exam,,yesno,post_neuro_exam_sedate,,,,,,,,,,,,,
post_neuro_exam_clonus_sustained_03_04,post_neuro_exam,,yesno,post_neuro_exam_clonus_sustained,,,,,,,,,,,,,
post_neuro_exam_fisted_hand_03_04,post_neuro_exam,,yesno,post_neuro_exam_fisted_hand,,,,,,,,,,,,,
post_neuro_exam_abnormal_movement_03_04,post_neuro_exam,,yesno,post_neuro_exam_abnormal_movement,,,,,,,,,,,,,
post_neuro_exam_gag_reflex_absent_03_04,post_neuro_exam,,yesno,post_neuro_exam_gag_reflex_absent,,,,,,,,,,,,,
post_neuro_exam_hypertonia_03_04,post_neuro_exam,,yesno,post_neuro_exam_hypertonia,,,,,,,,,,,,,
post_neuro_exam_asym_tonic_neck_reflex_03_04,post_neuro_exam,,yesno,post_neuro_exam_asym_tonic_neck_reflex,,,,,,,,,,,,,
post_neuro_exam_reflex_score_03_04_1,post_neuro_exam,,text,post_neuro_exam_reflex_score,,,,,,,,,,,,,
post_neuro_exam_ans_score_03_04_1,post_neuro_exam,,text,post_neuro_exam_ans_score,,,,,,,,,,,,,
post_total_modified_sarnat_score_03_04_1,post_neuro_exam,,text,post_total_modified_sarnat_score,,,,,,,,,,,,,
