"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mri_id_03_05,post_mri,,text,mri_id,,,,,,,,,,,,,
site_id_03_05,post_mri,,text,site_id,,,,,,,,,,,,,
mri_increment_03_05,post_mri,,text,mri_increment,,,,,,,,,,,,,
mriid_03_05,post_mri,,text,mriid,,,,,,,,,,,,,
mri_strength_t_03_05,post_mri,,text,mri_strength_t,,,,,,,,,,,,,
mri_adequate_quality_03_05,post_mri,,yesno,mri_adequate_quality,,,,,,,,,,,,,
mri_t1_axial_03_05,post_mri,,yesno,mri_t1_axial,,,,,,,,,,,,,
mri_t1_coronal_03_05,post_mri,,yesno,mri_t1_coronal,,,,,,,,,,,,,
mri_t1_sagittal_03_05,post_mri,,yesno,mri_t1_sagittal,,,,,,,,,,,,,
mri_t1_03_05,post_mri,,yesno,mri_t1,,,,,,,,,,,,,
mri_t2_axial_03_05,post_mri,,yesno,mri_t2_axial,,,,,,,,,,,,,
mri_t2_coronal_03_05,post_mri,,yesno,mri_t2_coronal,,,,,,,,,,,,,
mri_t2_sagittal_03_05,post_mri,,yesno,mri_t2_sagittal,,,,,,,,,,,,,
mri_t2_03_05,post_mri,,yesno,mri_t2,,,,,,,,,,,,,
mri_t2_flair_axial_03_05,post_mri,,yesno,mri_t2_flair_axial,,,,,,,,,,,,,
mri_t2_flair_coronal_03_05,post_mri,,yesno,mri_t2_flair_coronal,,,,,,,,,,,,,
mri_t2_flair_sagittal_03_05,post_mri,,yesno,mri_t2_flair_sagittal,,,,,,,,,,,,,
mri_t2_flair_03_05,post_mri,,yesno,mri_t2_flair,,,,,,,,,,,,,
mri_greswi_axial_03_05,post_mri,,yesno,mri_greswi_axial,,,,,,,,,,,,,
mri_greswi_coronal_03_05,post_mri,,yesno,mri_greswi_coronal,,,,,,,,,,,,,
mri_greswi_sagittal_03_05,post_mri,,yesno,mri_greswi_sagittal,,,,,,,,,,,,,
mri_greswi_03_05,post_mri,,yesno,mri_greswi,,,,,,,,,,,,,
mri_spgr_axial_03_05,post_mri,,yesno,mri_spgr_axial,,,,,,,,,,,,,
mri_spgr_coronal_03_05,post_mri,,yesno,mri_spgr_coronal,,,,,,,,,,,,,
mri_spgr_sagittal_03_05,post_mri,,yesno,mri_spgr_sagittal,,,,,,,,,,,,,
mri_spgr_03_05,post_mri,,yesno,mri_spgr,,,,,,,,,,,,,
mri_dwi_03_05,post_mri,,yesno,mri_dwi,,,,,,,,,,,,,
mri_adc_03_05,post_mri,,yesno,mri_adc,,,,,,,,,,,,,
mri_mrs_03_05,post_mri,,yesno,mri_mrs,,,,,,,,,,,,,
mri_other_03_05,post_mri,,yesno,mri_other,,,,,,,,,,,,,
mri_other_text_03_05,post_mri,,text,mri_other_text,,,,,,,,,,,,,
mri_overall_diagnosis_03_05,post_mri,,radio,mri_overall_diagnosis,"1, normal | 2, abnormal | 3, normal with other findings",MRIOverallDiagnosis,,,,,,,,,,,
mri_overall_diagnosis_text_03_05,post_mri,,text,mri_overall_diagnosis_text,,,,,,,,,,,,,
mri_abnormal_03_05,post_mri,,yesno,mri_abnormal,,,,,,,,,,,,,
mri_cerebral_atrophy_03_05,post_mri,,yesno,mri_cerebral_atrophy,,,,,,,,,,,,,
mri_cerebral_atrophy_global_local_03_05,post_mri,,radio,mri_cerebral_atrophy_global_local,"1, Global | 2, Localized",MRICerebralAtrophyGlobalLocal,,,,,,,,,,,
mri_cerebral_atrophy_region_03_05,post_mri,,radio,mri_cerebral_atrophy_region,"1, Global | 2, Localized | 3, PO, L>R | 4, R>L FP, R TM | 5, MILD DIFFUSE HEMISPHERIC | 6, DIFFUSE | 7, LT HEMISPHERIC",MRICerebralAtrophyRegion,,,,,,,,,,,
mri_cerebral_atrophy_qual_assess_cc_03_05,post_mri,,radio,mri_cerebral_atrophy_qual_assess_cc,"1, Normal | 2, Mild | 3, Moderate | 4, Severe | 5, Shunted",MRISeverity,,,,,,,,,,,
mri_cerebral_atrophy_qual_assess_vd_left_03_05,post_mri,,radio,mri_cerebral_atrophy_qual_assess_vd_left,"1, Normal | 2, Mild | 3, Moderate | 4, Severe | 5, Shunted",MRISeverity,,,,,,,,,,,
