"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mri_available_03_05_s,post_mri_summary,,yesno,mri_available,,,,,,,,,,,,,
mri_available_c_03_05_s,post_mri_summary,,yesno,mri_available_c,,,,,,,,,,,,,
mri_obtain_03_05_s,post_mri_summary,,yesno,mri_obtain,,,,,,,,,,,,,
mri_obtain_window_03_05_s,post_mri_summary,,radio,mri_obtain_window,"1, post-intervention | 2, in-intervention",MRIObtainWindow,,,,,,,,,,,
mri_obtain_window_c_03_05_s,post_mri_summary,,radio,mri_obtain_window_c,"1, post-intervention | 2, in-intervention",MRIObtainWindow,,,,,,,,,,,
mri_obtain_comment_03_05_s,post_mri_summary,,text,mri_obtain_comment,,,,,,,,,,,,,
mri_send_rti_date_03_05_s,post_mri_summary,,text,mri_send_rti_date,,,,,,,,,,,,,
mri_receive_rti_date_03_05_s,post_mri_summary,,text,mri_receive_rti_date,,,,,,,,,,,,,
mri_no_obtain_reason_03_05_s,post_mri_summary,,radio,mri_no_obtain_reason,"1, no arrangement | 2, MRI unavailable | 3, Other",MRINoObtainReason,,,,,,,,,,,
mri_no_obtain_reason_c_03_05_s,post_mri_summary,,radio,mri_no_obtain_reason_c,"1, no arrangement | 2, MRI unavailable | 3, Other",MRINoObtainReason,,,,,,,,,,,
mri_no_obtain_reason_text_03_05_s,post_mri_summary,,text,mri_no_obtain_reason_text,,,,,,,,,,,,,
mri_read_03_05_s,post_mri_summary,,yesno,mri_read,,,,,,,,,,,,,
mri_score_03_05_s,post_mri_summary,,radio,mri_score,"1, 0 | 2, 1A | 3, 1B | 4, 2A | 5, 2B | 6, 3",MRINRNPatternOfInjury,,,,,,,,,,,
mri2level_pattern_of_injury_03_05_s,post_mri_summary,,radio,mri2level_pattern_of_injury,"1, 0-1 | 2, 2-3",MRI2LevelPatternOfInjury,,,,,,,,,,,
mri_age_day_03_05_s,post_mri_summary,,text,mri_age_day,,,,,,,,,,,,,
mri_overall_diagnosis_merge_03_05_s,post_mri_summary,,radio,mri_overall_diagnosis_merge,"1, normal | 2, abnormal | 3, normal with other findings",MRIOverallDiagnosis,,,,,,,,,,,
mri_nrn_pattern_of_injury_03_05_s,post_mri_summary,,radio,mri_nrn_pattern_of_injury,"1, 0 | 2, 1A | 3, 1B | 4, 2A | 5, 2B | 6, 3",MRINRNPatternOfInjury,,,,,,,,,,,
mri_not_done_03_05_s,post_mri_summary,,yesno,mri_not_done,,,,,,,,,,,,,
mri_unread_03_05_s,post_mri_summary,,yesno,mri_unread,,,,,,,,,,,,,
mri_analysis_03_05_s,post_mri_summary,,yesno,mri_analysis,,,,,,,,,,,,,
mri_abnormal_result_03_05_s,post_mri_summary,,yesno,mri_abnormal_result,,,,,,,,,,,,,
mri_nrn_pattern_of_injury_w_svs_bgt_plic_03_05_s,post_mri_summary,,radio,mri_nrn_pattern_of_injury_w_svs_bgt_plic,"1, 0 | 2, 1A | 3, 1B | 4, 2-BGT | 5, 2-WS | 6, 3",MRINRNPatternOfInjuryWSvsBGT,,,,,,,,,,,
mri_cerebral_lesion_03_05_s,post_mri_summary,,yesno,mri_cerebral_lesion,,,,,,,,,,,,,
mri_cerebellar_lesion_03_05_s,post_mri_summary,,radio,mri_cerebellar_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_basal_ganglia_lesion_03_05_s,post_mri_summary,,radio,mri_basal_ganglia_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_brainstem_lesion_03_05_s,post_mri_summary,,radio,mri_brainstem_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_corpus_callosum_lesion_03_05_s,post_mri_summary,,radio,mri_corpus_callosum_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_cerebral_lesion_lobe_03_05_s,post_mri_summary,,radio,mri_cerebral_lesion_lobe,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_corona_radiata_lesion_03_05_s,post_mri_summary,,radio,mri_corona_radiata_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_edema_03_05_s,post_mri_summary,,radio,mri_edema,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_extra_axial_lesion_03_05_s,post_mri_summary,,radio,mri_extra_axial_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_extent_03_05_s,post_mri_summary,,radio,mri_extent,"1, Mild | 2, Moderate | 3, Extensive | 4, Hemispheric Devastation",MRIAbnormalExtent,,,,,,,,,,,
mri_frontal_parietal_lesion_03_05_s,post_mri_summary,,radio,mri_frontal_parietal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_frontal_lesion_03_05_s,post_mri_summary,,radio,mri_frontal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_lateral_hemispheric_devastation_03_05_s,post_mri_summary,,radio,mri_lateral_hemispheric_devastation,"1, R | 2, L | 3, R>L | 4, L>R | 5, R=L",MRIAbnormalSide,,,,,,,,,,,
mri_hippocampus_lesion_03_05_s,post_mri_summary,,radio,mri_hippocampus_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_hypothalamus_lesion_03_05_s,post_mri_summary,,radio,mri_hypothalamus_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_insular_lesion_03_05_s,post_mri_summary,,radio,mri_insular_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_laterality_merge_03_05_s,post_mri_summary,,radio,mri_laterality_merge,"1, R | 2, L | 3, R>L | 4, L>R | 5, R=L",MRIAbnormalSide,,,,,,,,,,,
mri_bgt_merge_03_05_s,post_mri_summary,,radio,mri_bgt_merge,"1, Normal | 2, Mild | 3, Moderate | 4, Severe | 5, Shunted",MRISeverity,,,,,,,,,,,
mri_plic_merge_03_05_s,post_mri_summary,,radio,mri_plic_merge,"1, Normal | 2, Equivocal | 3, Abnormal",MRIALICPLICSeverity,,,,,,,,,,,
mri_watershed_merge_03_05_s,post_mri_summary,,radio,mri_watershed_merge,"1, Normal | 2, Mild | 3, Moderate | 4, Severe | 5, Shunted",MRISeverity,,,,,,,,,,,
mri_white_matter_injury_merge_03_05_s,post_mri_summary,,radio,mri_white_matter_injury_merge,"1, Mild | 2, Moderate | 3, Severe",MRIInjurySeverity,,,,,,,,,,,
mri_date_03_05_s,post_mri_summary,,text,mri_date,,,,,,,,,,,,,
mri_occipital_lesion_03_05_s,post_mri_summary,,radio,mri_occipital_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_time_03_05_s,post_mri_summary,,text,mri_time,,,,,,,,,,,,,
mri_optic_chiasm_lesion_03_05_s,post_mri_summary,,radio,mri_optic_chiasm_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_other_lesion_03_05_s,post_mri_summary,,radio,mri_other_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_other_cerebral_lesion_03_05_s,post_mri_summary,,radio,mri_other_cerebral_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_parasagittal_lesion_03_05_s,post_mri_summary,,radio,mri_parasagittal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_parietal_lesion_03_05_s,post_mri_summary,,radio,mri_parietal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_preirolandic_lesion_03_05_s,post_mri_summary,,radio,mri_preirolandic_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_perisylvian_lesion_03_05_s,post_mri_summary,,radio,mri_perisylvian_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_pituitary_lesion_03_05_s,post_mri_summary,,radio,mri_pituitary_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_parietal_occipital_lesion_03_05_s,post_mri_summary,,radio,mri_parietal_occipital_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_parietal_temporal_lesion_03_05_s,post_mri_summary,,radio,mri_parietal_temporal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_scalp_lesion_03_05_s,post_mri_summary,,radio,mri_scalp_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_thalamus_lesion_03_05_s,post_mri_summary,,radio,mri_thalamus_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_temporal_lesion_03_05_s,post_mri_summary,,radio,mri_temporal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_temporal_occipital_lesion_03_05_s,post_mri_summary,,radio,mri_temporal_occipital_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",MRILesion,,,,,,,,,,,
mri_cerebral_atrophy_merge_03_05_s,post_mri_summary,,yesno,mri_cerebral_atrophy_merge,,,,,,,,,,,,,
mri_cerebral_atrophy_qual_assess_cc_merge_03_05_s,post_mri_summary,,radio,mri_cerebral_atrophy_qual_assess_cc_merge,"1, Normal | 2, Mild | 3, Moderate | 4, Severe | 5, Shunted",MRISeverity,,,,,,,,,,,
mri_cerebral_atrophy_global_local_merge_03_05_s,post_mri_summary,,radio,mri_cerebral_atrophy_global_local_merge,"1, Global | 2, Localized",MRICerebralAtrophyGlobalLocal,,,,,,,,,,,
mri_vascular_territory_infarction_merge_03_05_s,post_mri_summary,,yesno,mri_vascular_territory_infarction_merge,,,,,,,,,,,,,
