"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
discharge_meconium_aspiration_syndrome_04_03,discharge_respiratory,,yesno,discharge_meconium_aspiration_syndrome,,,,,,,,,,,,,
discharge_pphn_04_03,discharge_respiratory,,yesno,discharge_pphn,,,,,,,,,,,,,
discharge_pulmonary_hemorrhage_04_03,discharge_respiratory,,yesno,discharge_pulmonary_hemorrhage,,,,,,,,,,,,,
discharge_penumonia_04_03,discharge_respiratory,,yesno,discharge_penumonia,,,,,,,,,,,,,
discharge_chronic_lung_disease_04_03,discharge_respiratory,,yesno,discharge_chronic_lung_disease,,,,,,,,,,,,,
discharge_ecmo_04_03,discharge_respiratory,,yesno,discharge_ecmo,,,,,,,,,,,,,
discharge_ino_04_03,discharge_respiratory,,yesno,discharge_ino,,,,,,,,,,,,,
discharge_ventilator_day_04_03,discharge_respiratory,,text,discharge_ventilator_day,,,,,,,,,,,,,
discharge_oxygen_day_04_03,discharge_respiratory,,text,discharge_oxygen_day,,,,,,,,,,,,,
discharge_cpap_day_04_03,discharge_respiratory,,text,discharge_cpap_day,,,,,,,,,,,,,
discharge_pulmonary_start_date1_04_03,discharge_respiratory,,text,discharge_pulmonary_start_date1,,,,,,,,,,,,,
discharge_pulmonary_start_time1_04_03,discharge_respiratory,,text,discharge_pulmonary_start_time1,,,,,,,,,,,,,
discharge_pulmonary_end_date1_04_03,discharge_respiratory,,text,discharge_pulmonary_end_date1,,,,,,,,,,,,,
discharge_pulmonary_end_time1_04_03,discharge_respiratory,,text,discharge_pulmonary_end_time1,,,,,,,,,,,,,
