"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
discharge_altered_skin_itegrity_post_intervention_04_08,discharge_skin,,yesno,discharge_altered_skin_itegrity_post_intervention,,,,,,,,,,,,,
discharge_erythema_04_08,discharge_skin,,yesno,discharge_erythema,,,,,,,,,,,,,
discharge_erythema_onset_date_04_08,discharge_skin,,text,discharge_erythema_onset_date,,,,,,,,,,,,,
discharge_erythema_resolve_date_04_08,discharge_skin,,text,discharge_erythema_resolve_date,,,,,,,,,,,,,
discharge_sclerema_04_08,discharge_skin,,yesno,discharge_sclerema,,,,,,,,,,,,,
discharge_sclerema_onset_date_04_08,discharge_skin,,text,discharge_sclerema_onset_date,,,,,,,,,,,,,
discharge_sclerema_resolve_date_04_08,discharge_skin,,text,discharge_sclerema_resolve_date,,,,,,,,,,,,,
discharge_cyanosis_04_08,discharge_skin,,yesno,discharge_cyanosis,,,,,,,,,,,,,
discharge_cyanosis_onset_date_04_08,discharge_skin,,text,discharge_cyanosis_onset_date,,,,,,,,,,,,,
discharge_cyanosis_resolve_date_04_08,discharge_skin,,text,discharge_cyanosis_resolve_date,,,,,,,,,,,,,
discharge_sub_fat_necrosis_04_08,discharge_skin,,yesno,discharge_sub_fat_necrosis,,,,,,,,,,,,,
discharge_sub_fat_necrosis_onset_date_04_08,discharge_skin,,text,discharge_sub_fat_necrosis_onset_date,,,,,,,,,,,,,
discharge_sub_fat_necrosis_resolve_date_04_08,discharge_skin,,text,discharge_sub_fat_necrosis_resolve_date,,,,,,,,,,,,,
