"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
discharge_neuro_exam_date_04_02,discharge_neuro_exam,,text,discharge_neuro_exam_date,,,,,,,,,,,,,
discharge_neuro_exam_time_04_02,discharge_neuro_exam,,text,discharge_neuro_exam_time,,,,,,,,,,,,,
discharge_neuro_exam_level_consciousness_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_level_consciousness,"1, normal/mild HIE | 2, lethargic | 3, stupor/coma",signOfHIELvlOfCons,,,,,,,,,,,
discharge_neuro_exam_spontaneous_activity_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_spontaneous_activity,"1, normal/mild HIE | 2, decreased activity | 3, no activity",signOfHIESpontaneousActivity,,,,,,,,,,,
discharge_neuro_exam_posture_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_posture,"1, normal/mild HIE | 2, distal flexion, complete extension | 3, decerebrate",signOfHIEPosture,,,,,,,,,,,
discharge_neuro_exam_tone_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_tone,"1, normal/mild HIE | 2, hypertonia | 3, hypotonia | 4, flaccid | 5, rigid",signOfHIETone,,,,,,,,,,,
discharge_neuro_exam_suck_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_suck,"1, normal/mild HIE | 2, weak | 3, absent",signOfHIESuck,,,,,,,,,,,
discharge_neuro_exam_moro_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_moro,"1, normal/mild HIE | 2, incopmlete | 3, absent",signOfHIEMoro,,,,,,,,,,,
discharge_neuro_exam_pupils_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_pupils,"1, normal/mild HIE | 2, constricted | 3, deviation",signOfHIEPupils,,,,,,,,,,,
discharge_neuro_exam_heart_rate_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_heart_rate,"1, normal/mild HIE | 2, bradycardia | 3, variable HR",signOfHIEHeartRate,,,,,,,,,,,
discharge_neuro_exam_respiration_04_02,discharge_neuro_exam,,radio,discharge_neuro_exam_respiration,"1, normal/mild HIE | 2, periodic breathing | 3, apnea | 4, on vent with spontaneous breaths | 5, on vent without spontaneous breaths",signOfHIERespiratory,,,,,,,,,,,
discharge_neuro_exam_seizure_04_02,discharge_neuro_exam,,yesno,discharge_neuro_exam_seizure,,,,,,,,,,,,,
discharge_neuro_exam_clonus_sustained_04_02,discharge_neuro_exam,,yesno,discharge_neuro_exam_clonus_sustained,,,,,,,,,,,,,
discharge_neuro_exam_fisted_hand_04_02,discharge_neuro_exam,,yesno,discharge_neuro_exam_fisted_hand,,,,,,,,,,,,,
discharge_neuro_exam_abnormal_movement_04_02,discharge_neuro_exam,,yesno,discharge_neuro_exam_abnormal_movement,,,,,,,,,,,,,
discharge_neuro_exam_gag_reflex_absent_04_02,discharge_neuro_exam,,yesno,discharge_neuro_exam_gag_reflex_absent,,,,,,,,,,,,,
discharge_neuro_exam_sedate_04_02,discharge_neuro_exam,,yesno,discharge_neuro_exam_sedate,,,,,,,,,,,,,
discharge_neuro_exam_hypertonia_04_02,discharge_neuro_exam,,yesno,discharge_neuro_exam_hypertonia,,,,,,,,,,,,,
discharge_neuro_exam_asym_tonic_neck_reflex_04_02,discharge_neuro_exam,,yesno,discharge_neuro_exam_asym_tonic_neck_reflex,,,,,,,,,,,,,
