"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
discharge_seizure_04_13,discharge_seizure,,yesno,discharge_seizure,,,,,,,,,,,,,
discharge_seizure_pre_intervention_04_13,discharge_seizure,,yesno,discharge_seizure_pre_intervention,,,,,,,,,,,,,
discharge_seizure_after_baseline_04_13,discharge_seizure,,yesno,discharge_seizure_after_baseline,,,,,,,,,,,,,
discharge_seizure_maintenance_04_13,discharge_seizure,,yesno,discharge_seizure_maintenance,,,,,,,,,,,,,
discharge_seizure_rewarming_04_13,discharge_seizure,,yesno,discharge_seizure_rewarming,,,,,,,,,,,,,
discharge_seizure_post_intervention_04_13,discharge_seizure,,yesno,discharge_seizure_post_intervention,,,,,,,,,,,,,
discharge_eeg_04_13,discharge_seizure,,yesno,discharge_eeg,,,,,,,,,,,,,
discharge_eeg_finding_consistent_with_seizure_04_13,discharge_seizure,,yesno,discharge_eeg_finding_consistent_with_seizure,,,,,,,,,,,,,
discharge_eeg_finding_consistent_with_seizure_date_04_13,discharge_seizure,,text,discharge_eeg_finding_consistent_with_seizure_date,,,,,,,,,,,,,
discharge_eeg_finding_consistent_with_seizure_time_04_13,discharge_seizure,,text,discharge_eeg_finding_consistent_with_seizure_time,,,,,,,,,,,,,
discharge_eeg_abnormal_background_activity_04_13,discharge_seizure,,yesno,discharge_eeg_abnormal_background_activity,,,,,,,,,,,,,
discharge_eeg_abnormal_background_activity_date_04_13,discharge_seizure,,text,discharge_eeg_abnormal_background_activity_date,,,,,,,,,,,,,
discharge_eeg_abnormal_background_activity_time_04_13,discharge_seizure,,text,discharge_eeg_abnormal_background_activity_time,,,,,,,,,,,,,
discharge_anticonvulsants_over72h_04_13,discharge_seizure,,yesno,discharge_anticonvulsants_over72h,,,,,,,,,,,,,
