"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
wdraw_support_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support,,,,,,,,,,,,,
wdraw_support_date_04_16,discharge_withdrawal_of_support,,text,wdraw_support_date,,,,,,,,,,,,,
wdraw_support_time_04_16,discharge_withdrawal_of_support,,text,wdraw_support_time,,,,,,,,,,,,,
wdraw_support_discussed_with_family_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_discussed_with_family,,,,,,,,,,,,,
wdraw_support_recommend_solely_by_clinical_team_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_recommend_solely_by_clinical_team,,,,,,,,,,,,,
wdraw_support_neurological_exam_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_neurological_exam,,,,,,,,,,,,,
wdraw_support_imaging_study_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_imaging_study,,,,,,,,,,,,,
wdraw_support_eeg_finding_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_eeg_finding,,,,,,,,,,,,,
wdraw_support_multisystem_organ_failure_other_than_cns_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_multisystem_organ_failure_other_than_cns,,,,,,,,,,,,,
wdraw_support_brain_blood_flow_scan_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_brain_blood_flow_scan,,,,,,,,,,,,,
wdraw_support_parent_wish_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_parent_wish,,,,,,,,,,,,,
wdraw_support_other_04_16,discharge_withdrawal_of_support,,yesno,wdraw_support_other,,,,,,,,,,,,,
wdraw_support_other_text_04_16,discharge_withdrawal_of_support,,text,wdraw_support_other_text,,,,,,,,,,,,,
