"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
followup_center_20_02,followup_medical_history,,text,followup_center,,,,,,,,,,,,,
followup_id_20_02,followup_medical_history,,text,followup_id,,,,,,,,,,,,,
unique_followup_id_20_02,followup_medical_history,,text,unique_followup_id,,,,,,,,,,,,,
site_id_20_02,followup_medical_history,,text,site_id,,,,,,,,,,,,,
rehospitalize_20_02,followup_medical_history,,yesno,rehospitalize,,,,,,,,,,,,,
number_rehospitalize_20_02,followup_medical_history,,text,number_rehospitalize,,,,,,,,,,,,,
operation_20_02,followup_medical_history,,yesno,operation,,,,,,,,,,,,,
operation_typanostomy_tube_20_02,followup_medical_history,,yesno,operation_typanostomy_tube,,,,,,,,,,,,,
operation_tracheostomy_20_02,followup_medical_history,,yesno,operation_tracheostomy,,,,,,,,,,,,,
operation_eye_surgery_20_02,followup_medical_history,,yesno,operation_eye_surgery,,,,,,,,,,,,,
operation_eye_surgery_reason_20_02,followup_medical_history,,radio,operation_eye_surgery_reason,"1, strabismus | 2, cataract | 3, ROP | 4, other",eyeSurgeryReason,,,,,,,,,,,
operation_hernia_surgery_20_02,followup_medical_history,,yesno,operation_hernia_surgery,,,,,,,,,,,,,
operation_gastrostomy_tube_20_02,followup_medical_history,,yesno,operation_gastrostomy_tube,,,,,,,,,,,,,
operation_fundoplication_20_02,followup_medical_history,,yesno,operation_fundoplication,,,,,,,,,,,,,
operation_shunt_for_hydrocephalus_20_02,followup_medical_history,,yesno,operation_shunt_for_hydrocephalus,,,,,,,,,,,,,
operation_reanastomosis_of_large_or_small_intenstine_20_02,followup_medical_history,,yesno,operation_reanastomosis_of_large_or_small_intenstine,,,,,,,,,,,,,
operation_pda_ligation_20_02,followup_medical_history,,yesno,operation_pda_ligation,,,,,,,,,,,,,
operation_brochoscopy_20_02,followup_medical_history,,yesno,operation_brochoscopy,,,,,,,,,,,,,
operation_hypospadius_repair_20_02,followup_medical_history,,yesno,operation_hypospadius_repair,,,,,,,,,,,,,
operation_other_20_02,followup_medical_history,,yesno,operation_other,,,,,,,,,,,,,
operation_other_text_20_02,followup_medical_history,,text,operation_other_text,,,,,,,,,,,,,
medication_20_02,followup_medical_history,,yesno,medication,,,,,,,,,,,,,
vitamin_mineral_supplement_20_02,followup_medical_history,,radio,vitamin_mineral_supplement,"1, no | 2, yes, but stopped | 3, yes, still using",medicationUse,,,,,,,,,,,
high_caloric_formula_20_02,followup_medical_history,,radio,high_caloric_formula,"1, no | 2, yes, but stopped | 3, yes, still using",medicationUse,,,,,,,,,,,
diuretics_20_02,followup_medical_history,,radio,diuretics,"1, no | 2, yes, but stopped | 3, yes, still using",medicationUse,,,,,,,,,,,
anti_reflux_medication_20_02,followup_medical_history,,radio,anti_reflux_medication,"1, no | 2, yes, but stopped | 3, yes, still using",medicationUse,,,,,,,,,,,
bronchodilator_20_02,followup_medical_history,,radio,bronchodilator,"1, no | 2, yes, but stopped | 3, yes, still using",medicationUse,,,,,,,,,,,
inhaled_steroid_20_02,followup_medical_history,,radio,inhaled_steroid,"1, no | 2, yes, but stopped | 3, yes, still using",medicationUse,,,,,,,,,,,
oral_iv_steroid_20_02,followup_medical_history,,radio,oral_iv_steroid,"1, no | 2, yes, but stopped | 3, yes, still using",medicationUse,,,,,,,,,,,
other_asthma_medication_20_02,followup_medical_history,,radio,other_asthma_medication,"1, no | 2, yes, but stopped | 3, yes, still using",medicationUse,,,,,,,,,,,
