"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
followup_center_20_03,followup_medical_exam,,text,followup_center,,,,,,,,,,,,,
followup_id_20_03,followup_medical_exam,,text,followup_id,,,,,,,,,,,,,
unique_followup_id_20_03,followup_medical_exam,,text,unique_followup_id,,,,,,,,,,,,,
site_id_20_03,followup_medical_exam,,text,site_id,,,,,,,,,,,,,
weight_kg_20_03,followup_medical_exam,,text,weight_kg,,,,,,,,,,,,,
length_cm_20_03,followup_medical_exam,,text,length_cm,,,,,,,,,,,,,
head_circumference_cm_20_03,followup_medical_exam,,text,head_circumference_cm,,,,,,,,,,,,,
strabismus_right_20_03,followup_medical_exam,,radio,strabismus_right,"1, yes | 2, no | 3, suspect | 4, untestable",eye,,,,,,,,,,,
strabismus_left_20_03,followup_medical_exam,,radio,strabismus_left,"1, yes | 2, no | 3, suspect | 4, untestable",eye,,,,,,,,,,,
nystagmus_right_20_03,followup_medical_exam,,radio,nystagmus_right,"1, yes | 2, no | 3, suspect | 4, untestable",eye,,,,,,,,,,,
nystagmus_left_20_03,followup_medical_exam,,radio,nystagmus_left,"1, yes | 2, no | 3, suspect | 4, untestable",eye,,,,,,,,,,,
roving_eye_movement_right_20_03,followup_medical_exam,,radio,roving_eye_movement_right,"1, yes | 2, no | 3, suspect | 4, untestable",eye,,,,,,,,,,,
roving_eye_movement_left_20_03,followup_medical_exam,,radio,roving_eye_movement_left,"1, yes | 2, no | 3, suspect | 4, untestable",eye,,,,,,,,,,,
eye_track_right_20_03,followup_medical_exam,,radio,eye_track_right,"1, yes | 2, no | 3, suspect | 4, untestable",eye,,,,,,,,,,,
eye_track_left_20_03,followup_medical_exam,,radio,eye_track_left,"1, yes | 2, no | 3, suspect | 4, untestable",eye,,,,,,,,,,,
vision_right_20_03,followup_medical_exam,,radio,vision_right,"1, normal | 2, wears or prescribed corrective lenses | 3, other abnormality | 4, blind some functional vision | 5, blind no useful vision",vision,,,,,,,,,,,
vision_left_20_03,followup_medical_exam,,radio,vision_left,"1, normal | 2, wears or prescribed corrective lenses | 3, other abnormality | 4, blind some functional vision | 5, blind no useful vision",vision,,,,,,,,,,,
audiologic_assessment_20_03,followup_medical_exam,,yesno,audiologic_assessment,,,,,,,,,,,,,
audiologic_pending_for_assessment_20_03,followup_medical_exam,,yesno,audiologic_pending_for_assessment,,,,,,,,,,,,,
visual_reinforcement_audiometry_20_03,followup_medical_exam,,yesno,visual_reinforcement_audiometry,,,,,,,,,,,,,
vra_right_20_03,followup_medical_exam,,radio,vra_right,"1, pass | 2, fail | 3, equivocal | 4, unknown",hearing,,,,,,,,,,,
vra_left_20_03,followup_medical_exam,,radio,vra_left,"1, pass | 2, fail | 3, equivocal | 4, unknown",hearing,,,,,,,,,,,
vra_sound_field_20_03,followup_medical_exam,,radio,vra_sound_field,"1, pass | 2, fail | 3, equivocal | 4, unknown",hearing,,,,,,,,,,,
abr_20_03,followup_medical_exam,,yesno,abr,,,,,,,,,,,,,
abr_right_20_03,followup_medical_exam,,radio,abr_right,"1, pass | 2, fail | 3, equivocal | 4, unknown",hearing,,,,,,,,,,,
abr_left_20_03,followup_medical_exam,,radio,abr_left,"1, pass | 2, fail | 3, equivocal | 4, unknown",hearing,,,,,,,,,,,
hearing_test_unknown_20_03,followup_medical_exam,,yesno,hearing_test_unknown,,,,,,,,,,,,,
hearing_test_unknown_right_20_03,followup_medical_exam,,radio,hearing_test_unknown_right,"1, pass | 2, fail | 3, equivocal | 4, unknown",hearing,,,,,,,,,,,
hearing_test_unknown_left_20_03,followup_medical_exam,,radio,hearing_test_unknown_left,"1, pass | 2, fail | 3, equivocal | 4, unknown",hearing,,,,,,,,,,,
hearing_impaired_20_03,followup_medical_exam,,radio,hearing_impaired,"1, no apparent functional impairment | 2, impairment",hearingImpaired,,,,,,,,,,,
hearing_aid_requirement_20_03,followup_medical_exam,,radio,hearing_aid_requirement,"1, none | 2, right only | 3, left only | 4, both",hearingAid,,,,,,,,,,,
hearing_implant_20_03,followup_medical_exam,,radio,hearing_implant,"1, none | 2, right only | 3, left only | 4, both",hearingAid,,,,,,,,,,,
swallowing_20_03,followup_medical_exam,,radio,swallowing,"1, normal | 2, abnormal | 3, tube fed",swallow,,,,,,,,,,,
dysphagia_20_03,followup_medical_exam,,yesno,dysphagia,,,,,,,,,,,,,
aspiration_20_03,followup_medical_exam,,yesno,aspiration,,,,,,,,,,,,,
abnormal_voice_20_03,followup_medical_exam,,yesno,abnormal_voice,,,,,,,,,,,,,
drooling_20_03,followup_medical_exam,,yesno,drooling,,,,,,,,,,,,,
nothing_by_mouth_20_03,followup_medical_exam,,yesno,nothing_by_mouth,,,,,,,,,,,,,
observed_abnormal_movement_20_03,followup_medical_exam,,yesno,observed_abnormal_movement,,,,,,,,,,,,,
observed_abnormal_movement_short_jerky_20_03,followup_medical_exam,,yesno,observed_abnormal_movement_short_jerky,,,,,,,,,,,,,
observed_abnormal_movement_slow_writhing_20_03,followup_medical_exam,,yesno,observed_abnormal_movement_slow_writhing,,,,,,,,,,,,,
observed_abnormal_movement_tremor_20_03,followup_medical_exam,,yesno,observed_abnormal_movement_tremor,,,,,,,,,,,,,
passive_muscle_tone_neck_trunk_20_03,followup_medical_exam,,radio,passive_muscle_tone_neck_trunk,"1, normal | 2, suspect increased | 3, definite increased | 4, suspect decreased | 5, definite decreased | 6, varying tone",passiveMuscleTone,,,,,,,,,,,
upper_extremity_muscle_tone_right_20_03,followup_medical_exam,,radio,upper_extremity_muscle_tone_right,"1, normal | 2, suspect increased | 3, definite increased | 4, suspect decreased | 5, definite decreased | 6, varying tone",passiveMuscleTone,,,,,,,,,,,
upper_extremity_muscle_tone_left_20_03,followup_medical_exam,,radio,upper_extremity_muscle_tone_left,"1, normal | 2, suspect increased | 3, definite increased | 4, suspect decreased | 5, definite decreased | 6, varying tone",passiveMuscleTone,,,,,,,,,,,
lower_extremity_muscle_tone_hip_knee_right_20_03,followup_medical_exam,,radio,lower_extremity_muscle_tone_hip_knee_right,"1, normal | 2, suspect increased | 3, definite increased | 4, suspect decreased | 5, definite decreased | 6, varying tone",passiveMuscleTone,,,,,,,,,,,
lower_extremity_muscle_tone_hip_knee_left_20_03,followup_medical_exam,,radio,lower_extremity_muscle_tone_hip_knee_left,"1, normal | 2, suspect increased | 3, definite increased | 4, suspect decreased | 5, definite decreased | 6, varying tone",passiveMuscleTone,,,,,,,,,,,
lower_extremity_muscle_tone_ankle_right_20_03,followup_medical_exam,,radio,lower_extremity_muscle_tone_ankle_right,"1, normal | 2, suspect increased | 3, definite increased | 4, suspect decreased | 5, definite decreased | 6, varying tone",passiveMuscleTone,,,,,,,,,,,
lower_extremity_muscle_tone_ankle_left_20_03,followup_medical_exam,,radio,lower_extremity_muscle_tone_ankle_left,"1, normal | 2, suspect increased | 3, definite increased | 4, suspect decreased | 5, definite decreased | 6, varying tone",passiveMuscleTone,,,,,,,,,,,
scissoring_legs_20_03,followup_medical_exam,,yesno,scissoring_legs,,,,,,,,,,,,,
hand_preference_20_03,followup_medical_exam,,radio,hand_preference,"1, none | 2, exaggerated right | 3, exaggerated left",handPreference,,,,,,,,,,,
protective_reaction_20_03,followup_medical_exam,,radio,protective_reaction,"1, symmetry | 2, asymmetry | 3, not present",protectiveReaction,,,,,,,,,,,
limb_movement_upper_limb_20_03,followup_medical_exam,,radio,limb_movement_upper_limb,"1, symmetrical | 2, more on right | 3, more on left",limbMovement,,,,,,,,,,,
limb_movement_lower_limb_20_03,followup_medical_exam,,radio,limb_movement_lower_limb,"1, symmetrical | 2, more on right | 3, more on left",limbMovement,,,,,,,,,,,
