"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
followup_center_20_04,followup_bayley_3,,text,followup_center,,,,,,,,,,,,,
followup_id_20_04,followup_bayley_3,,text,followup_id,,,,,,,,,,,,,
unique_followup_id_20_04,followup_bayley_3,,text,unique_followup_id,,,,,,,,,,,,,
bayleyiii_cognitive_subtest_20_04,followup_bayley_3,,yesno,bayleyiii_cognitive_subtest,,,,,,,,,,,,,
bayleyiii_reason_no_success_cognitive_subtest_20_04,followup_bayley_3,,radio,bayleyiii_reason_no_success_cognitive_subtest,"1, illness | 2, language other than English and interpreter not available | 3, behavioral problems | 4, severely developmentally delayed | 5, servere cerebral palsy | 6, anatomic abnormalities of hand / feet | 7, other",BayleyIIIReasonNoSuccess,,,,,,,,,,,
bayleyiii_reason_no_success_cognitive_subtest_text_20_04,followup_bayley_3,,text,bayleyiii_reason_no_success_cognitive_subtest_text,,,,,,,,,,,,,
bayleyiii_language_receptive_subtest_20_04,followup_bayley_3,,yesno,bayleyiii_language_receptive_subtest,,,,,,,,,,,,,
bayleyiii_reason_no_success_language_receptive_subtest_20_04,followup_bayley_3,,radio,bayleyiii_reason_no_success_language_receptive_subtest,"1, illness | 2, language other than English and interpreter not available | 3, behavioral problems | 4, severely developmentally delayed | 5, servere cerebral palsy | 6, anatomic abnormalities of hand / feet | 7, other",BayleyIIIReasonNoSuccess,,,,,,,,,,,
bayleyiii_reason_no_success_language_receptive_subtest_text_20_04,followup_bayley_3,,text,bayleyiii_reason_no_success_language_receptive_subtest_text,,,,,,,,,,,,,
bayleyiii_language_expressive_subtest_20_04,followup_bayley_3,,yesno,bayleyiii_language_expressive_subtest,,,,,,,,,,,,,
bayleyiii_reason_no_success_language_expressive_subtest_20_04,followup_bayley_3,,radio,bayleyiii_reason_no_success_language_expressive_subtest,"1, illness | 2, language other than English and interpreter not available | 3, behavioral problems | 4, severely developmentally delayed | 5, servere cerebral palsy | 6, anatomic abnormalities of hand / feet | 7, other",BayleyIIIReasonNoSuccess,,,,,,,,,,,
bayleyiii_reason_no_success_language_expressive_subtest_text_20_04,followup_bayley_3,,text,bayleyiii_reason_no_success_language_expressive_subtest_text,,,,,,,,,,,,,
bayleyiii_motor_fine_subtest_20_04,followup_bayley_3,,yesno,bayleyiii_motor_fine_subtest,,,,,,,,,,,,,
bayleyiii_reason_no_success_motor_fine_subtest_20_04,followup_bayley_3,,radio,bayleyiii_reason_no_success_motor_fine_subtest,"1, illness | 2, language other than English and interpreter not available | 3, behavioral problems | 4, severely developmentally delayed | 5, servere cerebral palsy | 6, anatomic abnormalities of hand / feet | 7, other",BayleyIIIReasonNoSuccess,,,,,,,,,,,
bayleyiii_reason_no_success_motor_fine_subtest_text_20_04,followup_bayley_3,,text,bayleyiii_reason_no_success_motor_fine_subtest_text,,,,,,,,,,,,,
bayleyiii_motor_gross_subtest_20_04,followup_bayley_3,,yesno,bayleyiii_motor_gross_subtest,,,,,,,,,,,,,
bayleyiii_reason_no_success_motor_gross_subtest_20_04,followup_bayley_3,,radio,bayleyiii_reason_no_success_motor_gross_subtest,"1, illness | 2, language other than English and interpreter not available | 3, behavioral problems | 4, severely developmentally delayed | 5, servere cerebral palsy | 6, anatomic abnormalities of hand / feet | 7, other",BayleyIIIReasonNoSuccess,,,,,,,,,,,
bayleyiii_reason_no_success_motor_gross_subtest_text_20_04,followup_bayley_3,,text,bayleyiii_reason_no_success_motor_gross_subtest_text,,,,,,,,,,,,,
bayleyiii_adjusted_age_for_cognitive_test_20_04,followup_bayley_3,,text,bayleyiii_adjusted_age_for_cognitive_test,,,,,,,,,,,,,
bayleyiii_adjusted_age_for_receptive_communication_20_04,followup_bayley_3,,text,bayleyiii_adjusted_age_for_receptive_communication,,,,,,,,,,,,,
bayleyiii_adjusted_age_for_expressive_communication_20_04,followup_bayley_3,,text,bayleyiii_adjusted_age_for_expressive_communication,,,,,,,,,,,,,
bayleyiii_adjusted_age_for_motor_fine_subtest_20_04,followup_bayley_3,,text,bayleyiii_adjusted_age_for_motor_fine_subtest,,,,,,,,,,,,,
bayleyiii_adjusted_age_for_motor_gross_subtest_20_04,followup_bayley_3,,text,bayleyiii_adjusted_age_for_motor_gross_subtest,,,,,,,,,,,,,
bayleyiii_cognitive_raw_20_04,followup_bayley_3,,text,bayleyiii_cognitive_raw,,,,,,,,,,,,,
bayleyiii_cognitive_scale_20_04,followup_bayley_3,,text,bayleyiii_cognitive_scale,,,,,,,,,,,,,
bayleyiii_cognitive_composite_20_04,followup_bayley_3,,text,bayleyiii_cognitive_composite,,,,,,,,,,,,,
bayleyiii_receptive_raw_20_04,followup_bayley_3,,text,bayleyiii_receptive_raw,,,,,,,,,,,,,
bayleyiii_receptive_scale_20_04,followup_bayley_3,,text,bayleyiii_receptive_scale,,,,,,,,,,,,,
bayleyiii_expressive_raw_20_04,followup_bayley_3,,text,bayleyiii_expressive_raw,,,,,,,,,,,,,
bayleyiii_expressive_scale_20_04,followup_bayley_3,,text,bayleyiii_expressive_scale,,,,,,,,,,,,,
bayleyiii_sum_language_score_20_04,followup_bayley_3,,text,bayleyiii_sum_language_score,,,,,,,,,,,,,
bayleyiii_language_composite_20_04,followup_bayley_3,,text,bayleyiii_language_composite,,,,,,,,,,,,,
bayleyiii_motor_fine_raw_20_04,followup_bayley_3,,text,bayleyiii_motor_fine_raw,,,,,,,,,,,,,
bayleyiii_motor_fine_scale_20_04,followup_bayley_3,,text,bayleyiii_motor_fine_scale,,,,,,,,,,,,,
bayleyiii_motor_gross_raw_20_04,followup_bayley_3,,text,bayleyiii_motor_gross_raw,,,,,,,,,,,,,
bayleyiii_motor_gross_scale_20_04,followup_bayley_3,,text,bayleyiii_motor_gross_scale,,,,,,,,,,,,,
bayleyiii_sum_motor_score_20_04,followup_bayley_3,,text,bayleyiii_sum_motor_score,,,,,,,,,,,,,
bayleyiii_motor_composite_20_04,followup_bayley_3,,text,bayleyiii_motor_composite,,,,,,,,,,,,,
bayleyiii_in_english_20_04,followup_bayley_3,,yesno,bayleyiii_in_english,,,,,,,,,,,,,
bayley_iii_require_interpreter_20_04,followup_bayley_3,,yesno,bayley_iii_require_interpreter,,,,,,,,,,,,,
bayley_iii_administrator_masked_to_child_history_20_04,followup_bayley_3,,yesno,bayley_iii_administrator_masked_to_child_history,,,,,,,,,,,,,
bayleyiii_where_20_04,followup_bayley_3,,radio,bayleyiii_where,"1, clinic | 2, home | 3, telephone | 4, hospital | 5, other",interviewLocation,,,,,,,,,,,
bayleyiii_date_20_04,followup_bayley_3,,text,bayleyiii_date,,,,,,,,,,,,,
