"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
followup_center_20_08,followup_lost_follow_up,,text,followup_center,,,,,,,,,,,,,
followup_id_20_08,followup_lost_follow_up,,text,followup_id,,,,,,,,,,,,,
unique_followup_id_20_08,followup_lost_follow_up,,text,unique_followup_id,,,,,,,,,,,,,
lost_follow_up_information_available_indirect_src_20_08,followup_lost_follow_up,,yesno,lost_follow_up_information_available_indirect_src,,,,,,,,,,,,,
lost_follow_up_last_contact_date_20_08,followup_lost_follow_up,,text,lost_follow_up_last_contact_date,,,,,,,,,,,,,
lost_follow_up_form_complete_date_20_08,followup_lost_follow_up,,text,lost_follow_up_form_complete_date,,,,,,,,,,,,,
lost_follow_up_child_alive_20_08,followup_lost_follow_up,,yesno,lost_follow_up_child_alive,,,,,,,,,,,,,
lost_follow_up_last_known_alive_corrected_age_mo_20_08,followup_lost_follow_up,,text,lost_follow_up_last_known_alive_corrected_age_mo,,,,,,,,,,,,,
lost_follow_up_death_date_20_08,followup_lost_follow_up,,text,lost_follow_up_death_date,,,,,,,,,,,,,
lost_follow_up_interview_20_08,followup_lost_follow_up,,yesno,lost_follow_up_interview,,,,,,,,,,,,,
lost_follow_up_interview_date_20_08,followup_lost_follow_up,,text,lost_follow_up_interview_date,,,,,,,,,,,,,
lost_follow_up_interview_corrected_age_mo_20_08,followup_lost_follow_up,,text,lost_follow_up_interview_corrected_age_mo,,,,,,,,,,,,,
lost_follow_up_any_question_complete_chart_review_20_08,followup_lost_follow_up,,yesno,lost_follow_up_any_question_complete_chart_review,,,,,,,,,,,,,
lost_follow_up_chart_review_date_20_08,followup_lost_follow_up,,text,lost_follow_up_chart_review_date,,,,,,,,,,,,,
lost_follow_up_chart_review_corrected_age_mo_20_08,followup_lost_follow_up,,text,lost_follow_up_chart_review_corrected_age_mo,,,,,,,,,,,,,
interview_child_health_20_08,followup_lost_follow_up,,radio,interview_child_health,"1, poor | 2, fair | 3, good | 4, very good | 5, excellent",childHealth,,,,,,,,,,,
interview_walk_alone_20_08,followup_lost_follow_up,,yesno,interview_walk_alone,,,,,,,,,,,,,
interview_walk_alone_age_mo_20_08,followup_lost_follow_up,,text,interview_walk_alone_age_mo,,,,,,,,,,,,,
interview_sitting_along_20_08,followup_lost_follow_up,,yesno,interview_sitting_along,,,,,,,,,,,,,
interview_head_control_20_08,followup_lost_follow_up,,yesno,interview_head_control,,,,,,,,,,,,,
interview_see_20_08,followup_lost_follow_up,,yesno,interview_see,,,,,,,,,,,,,
interview_eye_exam_20_08,followup_lost_follow_up,,yesno,interview_eye_exam,,,,,,,,,,,,,
interview_need_wear_glasses_20_08,followup_lost_follow_up,,yesno,interview_need_wear_glasses,,,,,,,,,,,,,
interview_hear_20_08,followup_lost_follow_up,,yesno,interview_hear,,,,,,,,,,,,,
interview_hear_exam_20_08,followup_lost_follow_up,,yesno,interview_hear_exam,,,,,,,,,,,,,
interview_need_wear_hearing_aid_20_08,followup_lost_follow_up,,yesno,interview_need_wear_hearing_aid,,,,,,,,,,,,,
interview_number_word_vocabulary_20_08,followup_lost_follow_up,,text,interview_number_word_vocabulary,,,,,,,,,,,,,
interview_combine2words_20_08,followup_lost_follow_up,,yesno,interview_combine2words,,,,,,,,,,,,,
interview_combine3words_20_08,followup_lost_follow_up,,yesno,interview_combine3words,,,,,,,,,,,,,
interview_hydrocephalus_shunt_20_08,followup_lost_follow_up,,yesno,interview_hydrocephalus_shunt,,,,,,,,,,,,,
interview_cerebral_palsy_20_08,followup_lost_follow_up,,yesno,interview_cerebral_palsy,,,,,,,,,,,,,
interview_developmental_delay_20_08,followup_lost_follow_up,,yesno,interview_developmental_delay,,,,,,,,,,,,,
interview_language_delay_20_08,followup_lost_follow_up,,yesno,interview_language_delay,,,,,,,,,,,,,
interview_poor_weight_gain_20_08,followup_lost_follow_up,,yesno,interview_poor_weight_gain,,,,,,,,,,,,,
interview_seizure_20_08,followup_lost_follow_up,,yesno,interview_seizure,,,,,,,,,,,,,
interview_blindness_20_08,followup_lost_follow_up,,yesno,interview_blindness,,,,,,,,,,,,,
interview_other_behavior_problem_20_08,followup_lost_follow_up,,yesno,interview_other_behavior_problem,,,,,,,,,,,,,
interview_other_behavior_problem_text_20_08,followup_lost_follow_up,,text,interview_other_behavior_problem_text,,,,,,,,,,,,,
interview_other_major_medical_problem_20_08,followup_lost_follow_up,,yesno,interview_other_major_medical_problem,,,,,,,,,,,,,
interview_other_major_medical_problem_text_20_08,followup_lost_follow_up,,text,interview_other_major_medical_problem_text,,,,,,,,,,,,,
interview_other_neuraldevelopmental_problem_20_08,followup_lost_follow_up,,yesno,interview_other_neuraldevelopmental_problem,,,,,,,,,,,,,
