"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
followup_center_20_10,followup_outcome,,text,followup_center,,,,,,,,,,,,,
followup_id_20_10,followup_outcome,,text,followup_id,,,,,,,,,,,,,
unique_followup_id_20_10,followup_outcome,,text,unique_followup_id,,,,,,,,,,,,,
flag_adjudicated_outcome_20_10,followup_outcome,,radio,flag_adjudicated_outcome,"1, primary | 2, secondary",flagAdjudicatedOutcome,,,,,,,,,,,
normal_primary_outcome_20_10,followup_outcome,,yesno,normal_primary_outcome,,,,,,,,,,,,,
bayleyiii_language_20_10,followup_outcome,,radio,bayleyiii_language,"1, normal | 2, mild | 3, moderate | 4, severe | 5, death",severity,,,,,,,,,,,
bayleyiii_motor_20_10,followup_outcome,,radio,bayleyiii_motor,"1, normal | 2, mild | 3, moderate | 4, severe | 5, death",severity,,,,,,,,,,,
bayleyiii_cognitive_20_10,followup_outcome,,radio,bayleyiii_cognitive,"1, normal | 2, mild | 3, moderate | 4, severe | 5, death",severity,,,,,,,,,,,
death_before_followup_20_10,followup_outcome,,yesno,death_before_followup,,,,,,,,,,,,,
death_before_discharge_20_10,followup_outcome,,yesno,death_before_discharge,,,,,,,,,,,,,
disability_level_survivor_20_10,followup_outcome,,radio,disability_level_survivor,"1, normal | 2, mild | 3, moderate | 4, severe | 5, death",severity,,,,,,,,,,,
disability_level_death_4_category_20_10,followup_outcome,,radio,disability_level_death_4_category,"1, normal | 2, mild | 3, moderate | 4, severe | 5, death",severity,,,,,,,,,,,
moderate_severe_disability_or_death_20_10,followup_outcome,,yesno,moderate_severe_disability_or_death,,,,,,,,,,,,,
moderate_severe_disability_survivor_20_10,followup_outcome,,yesno,moderate_severe_disability_survivor,,,,,,,,,,,,,
outcome_group_20_10,followup_outcome,,radio,outcome_group,"1, primary | 2, death",outcomeGroup,,,,,,,,,,,
followup_center_20_10_1,followup_outcome,,text,followup_center,,,,,,,,,,,,,
disability_level_death_20_10_1,followup_outcome,,radio,disability_level_death,"1, normal | 2, mild | 3, moderate | 4, severe | 5, death",severity,,,,,,,,,,,
