"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
followup_center_30_01,deriv_secondary_analysis,,text,followup_center,,,,,,,,,,,,,
followup_id_30_01,deriv_secondary_analysis,,text,followup_id,,,,,,,,,,,,,
acidosis_30_01,deriv_secondary_analysis,,yesno,acidosis,,,,,,,,,,,,,
age_death_day_30_01,deriv_secondary_analysis,,text,age_death_day,,,,,,,,,,,,,
age_rand_hr_30_01,deriv_secondary_analysis,,text,age_rand_hr,,,,,,,,,,,,,
baseline_anticonvulsants_30_01,deriv_secondary_analysis,,yesno,baseline_anticonvulsants,,,,,,,,,,,,,
discharge_anticonvulsants_30_01,deriv_secondary_analysis,,yesno,discharge_anticonvulsants,,,,,,,,,,,,,
inotropic_agent_30_01,deriv_secondary_analysis,,yesno,inotropic_agent,,,,,,,,,,,,,
perinatal_sentinel_event_30_01,deriv_secondary_analysis,,yesno,perinatal_sentinel_event,,,,,,,,,,,,,
discharge_seizure_30_01,deriv_secondary_analysis,,yesno,discharge_seizure,,,,,,,,,,,,,
apgar10min_lt5_30_01,deriv_secondary_analysis,,yesno,apgar10min_lt5,,,,,,,,,,,,,
apgar10min_lte5_30_01,deriv_secondary_analysis,,yesno,apgar10min_lte5,,,,,,,,,,,,,
apgar5min_lte5_30_01,deriv_secondary_analysis,,yesno,apgar5min_lte5,,,,,,,,,,,,,
blood_gas_base_deficit_meqperl_30_01,deriv_secondary_analysis,,text,blood_gas_base_deficit_meqperl,,,,,,,,,,,,,
blood_gas_ph_30_01,deriv_secondary_analysis,,text,blood_gas_ph,,,,,,,,,,,,,
emergency_c_section_30_01,deriv_secondary_analysis,,yesno,emergency_c_section,,,,,,,,,,,,,
encephalopathy_level_30_01,deriv_secondary_analysis,,radio,encephalopathy_level,"1, moderate | 2, severe",encephalopathyLevel,,,,,,,,,,,
inotropic_agent_baseline_30_01,deriv_secondary_analysis,,yesno,inotropic_agent_baseline,,,,,,,,,,,,,
male_sex_30_01,deriv_secondary_analysis,,yesno,male_sex,,,,,,,,,,,,,
maternal_education_30_01,deriv_secondary_analysis,,radio,maternal_education,"1, <HS | 2, HS | 3, >HS",education2,,,,,,,,,,,
mother_insurance_public_30_01,deriv_secondary_analysis,,yesno,mother_insurance_public,,,,,,,,,,,,,
mother_race_30_01,deriv_secondary_analysis,,radio,mother_race,"1, black | 2, white | 3, other",race2,,,,,,,,,,,
treatment_assignment_duration_hr_30_01,deriv_secondary_analysis,,text,treatment_assignment_duration_hr,,,,,,,,,,,,,
treatment_assignment_temperature_30_01,deriv_secondary_analysis,,text,treatment_assignment_temperature,,,,,,,,,,,,,
blood_gas_base_deficit_meqperl_src_30_01,deriv_secondary_analysis,,radio,blood_gas_base_deficit_meqperl_src,"1, cord | 2, postnatal",bloodGasSrc2,,,,,,,,,,,
blood_gas_ph_src_30_01,deriv_secondary_analysis,,radio,blood_gas_ph_src,"1, cord | 2, postnatal",bloodGasSrc2,,,,,,,,,,,
usual_cooling_treatment_group_30_01,deriv_secondary_analysis,,yesno,usual_cooling_treatment_group,,,,,,,,,,,,,
blindness_30_01,deriv_secondary_analysis,,yesno,blindness,,,,,,,,,,,,,
moderate_severe_cerebral_palsy_30_01,deriv_secondary_analysis,,yesno,moderate_severe_cerebral_palsy,,,,,,,,,,,,,
cerebral_palsy_30_01,deriv_secondary_analysis,,yesno,cerebral_palsy,,,,,,,,,,,,,
gastrostomy_tube_30_01,deriv_secondary_analysis,,yesno,gastrostomy_tube,,,,,,,,,,,,,
gross_motor_function_level_30_01,deriv_secondary_analysis,,radio,gross_motor_function_level,"1, normal | 2, mild | 3, moderate | 4, severe | 5, death",severity,,,,,,,,,,,
hearing_impaired_with_aid_30_01,deriv_secondary_analysis,,yesno,hearing_impaired_with_aid,,,,,,,,,,,,,
hearing_impaired_level_30_01,deriv_secondary_analysis,,radio,hearing_impaired_level,"1, normal | 2, mild | 3, moderate | 4, severe | 5, death",severity,,,,,,,,,,,
multiple_impairment_30_01,deriv_secondary_analysis,,yesno,multiple_impairment,,,,,,,,,,,,,
after_discharge_seizure_30_01,deriv_secondary_analysis,,yesno,after_discharge_seizure,,,,,,,,,,,,,
length_of_stay_day_31_07,deriv_secondary_analysis,,text,length_of_stay_day,,,,,,,,,,,,,
