"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pre_neuro_exam_level_consciousness_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_level_consciousness_score,,,,,,,,,,,,,
pre_neuro_exam_spontaneous_activity_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_spontaneous_activity_score,,,,,,,,,,,,,
pre_neuro_exam_posture_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_posture_score,,,,,,,,,,,,,
pre_neuro_exam_tone_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_tone_score,,,,,,,,,,,,,
pre_neuro_exam_suck_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_suck_score,,,,,,,,,,,,,
pre_neuro_exam_moro_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_moro_score,,,,,,,,,,,,,
pre_neuro_exam_pupils_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_pupils_score,,,,,,,,,,,,,
pre_neuro_exam_heart_rate_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_heart_rate_score,,,,,,,,,,,,,
pre_neuro_exam_respiration_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_respiration_score,,,,,,,,,,,,,
pre_neuro_exam_reflex_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_reflex_score,,,,,,,,,,,,,
pre_neuro_exam_ans_score_31_02,deriv_neuro_exam_derived,,text,pre_neuro_exam_ans_score,,,,,,,,,,,,,
pre_total_modified_sarnat_score_31_02,deriv_neuro_exam_derived,,text,pre_total_modified_sarnat_score,,,,,,,,,,,,,
post_neuro_exam_level_consciousness_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_level_consciousness_score,,,,,,,,,,,,,
post_neuro_exam_spontaneous_activity_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_spontaneous_activity_score,,,,,,,,,,,,,
post_neuro_exam_posture_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_posture_score,,,,,,,,,,,,,
post_neuro_exam_tone_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_tone_score,,,,,,,,,,,,,
post_neuro_exam_suck_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_suck_score,,,,,,,,,,,,,
post_neuro_exam_moro_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_moro_score,,,,,,,,,,,,,
post_neuro_exam_pupils_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_pupils_score,,,,,,,,,,,,,
post_neuro_exam_heart_rate_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_heart_rate_score,,,,,,,,,,,,,
post_neuro_exam_respiration_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_respiration_score,,,,,,,,,,,,,
post_neuro_exam_reflex_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_reflex_score,,,,,,,,,,,,,
post_neuro_exam_ans_score_31_02,deriv_neuro_exam_derived,,text,post_neuro_exam_ans_score,,,,,,,,,,,,,
post_total_modified_sarnat_score_31_02,deriv_neuro_exam_derived,,text,post_total_modified_sarnat_score,,,,,,,,,,,,,
discharge_neuro_exam_level_consciousness_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_level_consciousness_score,,,,,,,,,,,,,
discharge_neuro_exam_spontaneous_activity_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_spontaneous_activity_score,,,,,,,,,,,,,
discharge_neuro_exam_posture_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_posture_score,,,,,,,,,,,,,
discharge_neuro_exam_tone_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_tone_score,,,,,,,,,,,,,
discharge_neuro_exam_suck_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_suck_score,,,,,,,,,,,,,
discharge_neuro_exam_moro_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_moro_score,,,,,,,,,,,,,
discharge_neuro_exam_pupils_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_pupils_score,,,,,,,,,,,,,
discharge_neuro_exam_heart_rate_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_heart_rate_score,,,,,,,,,,,,,
discharge_neuro_exam_respiration_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_respiration_score,,,,,,,,,,,,,
discharge_neuro_exam_reflex_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_reflex_score,,,,,,,,,,,,,
discharge_neuro_exam_ans_score_31_02,deriv_neuro_exam_derived,,text,discharge_neuro_exam_ans_score,,,,,,,,,,,,,
discharge_total_modified_sarnat_score_31_02,deriv_neuro_exam_derived,,text,discharge_total_modified_sarnat_score,,,,,,,,,,,,,
