"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
followup_center_30_03,deriv_mri_derived,,text,followup_center,,,,,,,,,,,,,
followup_id_30_03,deriv_mri_derived,,text,followup_id,,,,,,,,,,,,,
mri2level_pattern_of_injury_30_03,deriv_mri_derived,,radio,mri2level_pattern_of_injury,"1, 0-1 | 2, 2-3",MRI2LevelPatternOfInjury,,,,,,,,,,,
mri_age_day_30_03,deriv_mri_derived,,text,mri_age_day,,,,,,,,,,,,,
mri_overall_diagnosis_30_03,deriv_mri_derived,,radio,mri_overall_diagnosis,"1, normal | 2, abnormal | 3, normal with other findings",MRIOverallDiagnosis,,,,,,,,,,,
mri_nrn_pattern_of_injury_30_03,deriv_mri_derived,,radio,mri_nrn_pattern_of_injury,"1, 0 | 2, 1A | 3, 1B | 4, 2A | 5, 2B | 6, 3",MRINRNPatternOfInjury,,,,,,,,,,,
mri_date_30_03,deriv_mri_derived,,text,mri_date,,,,,,,,,,,,,
mri_time_30_03,deriv_mri_derived,,text,mri_time,,,,,,,,,,,,,
mri_not_done_30_03,deriv_mri_derived,,yesno,mri_not_done,,,,,,,,,,,,,
mri_unread_30_03,deriv_mri_derived,,yesno,mri_unread,,,,,,,,,,,,,
mri_analysis_30_03,deriv_mri_derived,,yesno,mri_analysis,,,,,,,,,,,,,
abnormal_mri_result_30_03,deriv_mri_derived,,yesno,abnormal_mri_result,,,,,,,,,,,,,
mri_nrn_pattern_of_injury_w_svs_bgt_plic_30_03,deriv_mri_derived,,radio,mri_nrn_pattern_of_injury_w_svs_bgt_plic,"1, 0 | 2, 1A | 3, 1B | 4, 2-BGT | 5, 2-WS | 6, 3",MRINRNPatternOfInjuryWSvsBGT,,,,,,,,,,,
cerebral_lesion_30_03,deriv_mri_derived,,yesno,cerebral_lesion,,,,,,,,,,,,,
cerebellar_lesion_30_03,deriv_mri_derived,,radio,cerebellar_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
basal_ganglia_lesion_30_03,deriv_mri_derived,,radio,basal_ganglia_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
brainstem_lesion_30_03,deriv_mri_derived,,radio,brainstem_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
corpus_callosum_lesion_30_03,deriv_mri_derived,,radio,corpus_callosum_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
cerebral_lesion_lobe_30_03,deriv_mri_derived,,radio,cerebral_lesion_lobe,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
corona_radiata_lesion_30_03,deriv_mri_derived,,radio,corona_radiata_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
edema_30_03,deriv_mri_derived,,radio,edema,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
extra_axial_lesion_30_03,deriv_mri_derived,,radio,extra_axial_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
extent_30_03,deriv_mri_derived,,radio,extent,"1, mild | 2, moderate | 3, extensive | 4, hemispheric devastation",extent,,,,,,,,,,,
frontal_parietal_lesion_30_03,deriv_mri_derived,,radio,frontal_parietal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
frontal_lesion_30_03,deriv_mri_derived,,radio,frontal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
lateral_hemispheric_devastation_30_03,deriv_mri_derived,,radio,lateral_hemispheric_devastation,"1, R | 2, L | 3, R>L | 4, L>R | 5, R=L",lateral,,,,,,,,,,,
hippocampus_lesion_30_03,deriv_mri_derived,,radio,hippocampus_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
hypothalamus_lesion_30_03,deriv_mri_derived,,radio,hypothalamus_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
insular_lesion_30_03,deriv_mri_derived,,radio,insular_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
laterality_30_03,deriv_mri_derived,,radio,laterality,"1, R | 2, L | 3, R>L | 4, L>R | 5, R=L",lateral,,,,,,,,,,,
bgt_30_03,deriv_mri_derived,,radio,bgt,"1, normal | 2, mild | 3, moderate | 4, severe",BGT,,,,,,,,,,,
plic_30_03,deriv_mri_derived,,radio,plic,"1, normal | 2, equivocal | 3, abnormal",PLIC,,,,,,,,,,,
watershed_30_03,deriv_mri_derived,,radio,watershed,"1, normal | 2, mild | 3, moderate | 4, severe",watershed,,,,,,,,,,,
white_matter_injury_30_03,deriv_mri_derived,,radio,white_matter_injury,"1, none | 2, mild | 3, moderate | 4, severe",whiteMatterInjury,,,,,,,,,,,
occipital_lesion_30_03,deriv_mri_derived,,radio,occipital_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
optic_chiasm_lesion_30_03,deriv_mri_derived,,radio,optic_chiasm_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
other_lesion_30_03,deriv_mri_derived,,radio,other_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
other_cerebral_lesion_30_03,deriv_mri_derived,,radio,other_cerebral_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
parasagittal_lesion_30_03,deriv_mri_derived,,radio,parasagittal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
parietal_lesion_30_03,deriv_mri_derived,,radio,parietal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
preirolandic_lesion_30_03,deriv_mri_derived,,radio,preirolandic_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
perisylvian_lesion_30_03,deriv_mri_derived,,radio,perisylvian_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
pituitary_lesion_30_03,deriv_mri_derived,,radio,pituitary_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
parietal_occipital_lesion_30_03,deriv_mri_derived,,radio,parietal_occipital_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
parietal_temporal_lesion_30_03,deriv_mri_derived,,radio,parietal_temporal_lesion,"1, yes but hemispheric devastation | 2, no lesion | 3, FALSE | 4, TRUE",lesion,,,,,,,,,,,
